Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Arizona,2092.0,-0.8,+12
2,Michigan,2072.0,-0.2,+10
3,Houston,2068.0,-0.4,-16
4,Duke,2058.0,-0.5,+3
5,Michigan State,2045.0,-1.0,+18
6,Illinois,2021.0,-0.0,+27
7,Gonzaga,2020.0,-0.8,+2
8,Texas Tech,1999.0,-0.2,+41
9,UConn,1994.0,-0.1,+8
10,Nebraska,1992.0,-0.6,+18
11,Florida,1976.0,-0.6,-36
12,Iowa State,1961.0,-0.4,+35
13,Purdue,1952.0,-0.2,-38
14,St. John's (NY),1947.0,-0.4,+11
15,BYU,1938.0,-0.0,+4
16,Auburn,1937.0,-0.2,+66
17,Kansas,1932.0,-0.5,+28
18,Vanderbilt,1919.0,-0.2,+3
19,Arkansas,1913.0,-0.1,+38
20,Alabama,1910.0,-0.5,-29
21,Tennessee,1898.0,-1.0,+29
22,Iowa,1873.0,-0.1,+5
23,Texas A&M,1870.0,-0.1,+31
24,Kentucky,1867.0,-0.2,+18
25,Wisconsin,1863.0,-0.1,-2
26,Louisville,1860.0,-0.2,+11
27,Clemson,1854.0,-0.0,-18
28,New Mexico,1854.0,-0.0,+13
29,Villanova,1853.0,-0.2,-2
30,Saint Mary's,1847.0,-0.1,+9
31,Virginia,1844.0,-0.0,-25
32,UNC,1843.0,-0.0,+36
33,Georgia,1842.0,-0.4,-28
34,UCLA,1832.0,-0.4,+24
35,Saint Louis,1821.0,-0.1,+31
36,Ohio State,1819.0,-0.1,+3
37,Indiana,1817.0,-0.0,+28
38,San Diego State,1816.0,-0.2,+11
39,UCF,1812.0,-0.0,+2
40,SMU,1811.0,-0.1,+26
41,Texas,1808.0,-0.2,+30
42,Utah State,1803.0,-0.3,-44
43,USC,1796.0,-0.0,-12
44,Santa Clara,1795.0,-0.0,+7
45,Creighton,1794.0,-0.4,+4
46,West Virginia,1785.0,-0.3,+16
47,Missouri,1777.0,-0.2,-5
48,NC State,1773.0,-0.0,+44
49,TCU,1772.0,-0.2,+39
50,VCU,1767.0,,+15
