Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,2041.0,-0.9,+13
2,Florida,2018.0,-1.5,+5
3,Auburn,1981.0,-0.4,-8
4,Duke,1971.0,-0.4,+6
5,Michigan State,1962.0,-0.3,+2
6,Tennessee,1955.0,-0.2,+1
7,Arizona,1949.0,-0.3,+16
8,Alabama,1942.0,-1.5,-35
9,Purdue,1905.0,-0.1,+41
10,Texas Tech,1903.0,-0.4,-10
11,Wisconsin,1892.0,-0.1,+2
12,Gonzaga,1890.0,-0.0,+47
13,St. John's (NY),1889.0,-0.1,+3
14,Michigan,1887.0,-0.2,+11
15,BYU,1882.0,-0.1,-8
16,Iowa State,1879.0,-0.1,+17
17,UConn,1877.0,-0.0,+10
18,Illinois,1876.0,-0.0,+14
19,Ole Miss,1876.0,-0.0,+9
20,Maryland,1875.0,-0.4,+19
21,Oregon,1866.0,-0.2,+2
22,Kentucky,1860.0,-0.0,-17
23,Indiana,1859.0,-0.0,+7
24,Arkansas,1859.0,-0.3,+3
25,Missouri,1851.0,-0.2,+15
26,Colorado State,1846.0,-0.4,+15
27,Baylor,1837.0,-0.2,+2
28,Louisville,1833.0,-0.0,+22
29,Saint Mary's,1832.0,-0.3,+20
30,UCLA,1825.0,-0.0,-13
31,UNC,1824.0,-0.0,+5
32,Georgia,1824.0,-0.3,+5
33,Creighton,1816.0,-0.0,-29
34,Nebraska,1816.0,-0.1,+13
35,Northwestern,1814.0,-0.2,+13
36,Vanderbilt,1809.0,-0.3,+5
37,Kansas,1802.0,-0.0,+8
38,Texas,1801.0,-0.0,+3
39,Iowa,1800.0,-0.2,+18
40,Penn State,1794.0,-0.1,+6
41,Mississippi State,1792.0,-0.1,-15
42,USC,1789.0,-0.0,+9
43,Ohio State,1788.0,-0.1,+8
44,Oklahoma,1786.0,-0.2,-11
45,West Virginia,1782.0,-0.2,+16
46,Cincinnati,1777.0,-0.0,+17
47,Villanova,1776.0,-0.1,+12
48,Clemson,1773.0,-0.1,-13
49,Kansas State,1771.0,-0.0,+5
50,New Mexico,1771.0,,-28
