Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2187.0,-4.8,+30
2,Purdue,2068.0,-1.2,-8
3,Iowa State,2038.0,-1.0,+0
4,Houston,2012.0,-0.7,+0
5,Illinois,1994.0,-0.8,+0
6,Auburn,1975.0,-1.0,+0
7,UNC,1950.0,-0.3,+0
8,Tennessee,1942.0,-0.3,+0
9,Duke,1934.0,-0.1,+0
10,Creighton,1932.0,-0.3,+0
11,Marquette,1925.0,-0.2,+0
12,Gonzaga,1920.0,-0.4,+0
13,Alabama,1909.0,-0.0,-9
14,NC State,1908.0,-0.6,-13
15,Arizona,1892.0,-0.5,+0
16,St. John's (NY),1879.0,-0.0,+0
17,Texas,1878.0,-0.0,+0
18,Baylor,1877.0,-0.2,+0
19,San Diego State,1873.0,-0.3,+0
20,Florida,1865.0,-0.0,+0
21,Saint Mary's,1864.0,-0.2,+0
22,Kentucky,1859.0,-0.1,+0
23,Texas A&M,1857.0,-0.1,+0
24,Texas Tech,1854.0,-0.2,+0
25,Colorado,1850.0,-0.1,+0
26,Seton Hall,1847.0,-0.2,+29
27,Michigan State,1843.0,-0.1,+0
28,Nebraska,1840.0,-0.0,+0
29,Pitt,1839.0,-0.0,+0
30,Ohio State,1839.0,-0.3,+0
31,BYU,1831.0,-0.0,+0
32,Northwestern,1831.0,-0.2,+0
33,Nevada,1825.0,-0.0,+0
34,Clemson,1824.0,-0.1,+0
35,Wisconsin,1822.0,-0.0,+0
36,Mississippi State,1821.0,-0.1,+0
37,Oregon,1819.0,-0.2,+0
38,Kansas,1815.0,-0.1,+0
39,Cincinnati,1812.0,-0.0,+0
40,Dayton,1811.0,-0.0,+0
41,Washington State,1811.0,-0.2,+0
42,TCU,1807.0,-0.4,+0
43,South Carolina,1797.0,-0.1,+0
44,New Mexico,1795.0,-0.2,+0
45,Indiana State,1791.0,-0.3,+13
46,Kansas State,1784.0,-0.0,+0
47,James Madison,1784.0,-0.0,+0
48,Florida Atlantic,1783.0,-0.1,+0
49,Colorado State,1780.0,-0.0,+0
50,Oklahoma,1779.0,,+0
