Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Michigan,2067.0,-0.8,+1
2,Arizona,2046.0,-0.0,+6
3,Houston,2045.0,-1.7,+18
4,Duke,2003.0,-0.3,-16
5,Michigan State,1996.0,-0.1,+3
6,Gonzaga,1994.0,-0.4,+14
7,Iowa State,1985.0,-1.1,+1
8,Florida,1957.0,-0.2,+2
9,Vanderbilt,1952.0,-0.4,+42
10,UConn,1941.0,-0.3,+18
11,Alabama,1933.0,-0.1,+5
12,Purdue,1931.0,-0.3,+34
13,BYU,1923.0,-0.4,+6
14,Texas Tech,1913.0,-0.2,+23
15,Tennessee,1908.0,-0.2,+25
16,Nebraska,1902.0,-0.4,+1
17,Illinois,1892.0,-0.2,+0
18,Auburn,1887.0,-0.1,-34
19,Arkansas,1884.0,-0.5,-16
20,St. John's (NY),1872.0,-0.0,-23
21,Kansas,1871.0,-0.1,+6
22,UNC,1868.0,-0.6,+15
23,Louisville,1852.0,-0.0,-18
24,Georgia,1851.0,-0.3,+2
25,Iowa,1844.0,-0.3,+3
26,Baylor,1836.0,-0.1,+5
27,Villanova,1834.0,-0.2,+36
28,UCLA,1829.0,-0.0,+16
29,Utah State,1829.0,-0.2,+56
30,Creighton,1825.0,-0.0,+90
31,Kentucky,1824.0,-0.0,+28
32,New Mexico,1823.0,-0.2,+5
33,USC,1818.0,-0.1,+4
34,Indiana,1816.0,-0.0,+1
35,Wisconsin,1815.0,-0.1,-36
36,Oklahoma,1812.0,-0.1,+1
37,Missouri,1809.0,-0.1,+0
38,Clemson,1807.0,-0.1,+15
39,Saint Mary's,1804.0,-0.1,+7
40,Oklahoma State,1802.0,-0.1,+2
41,Colorado State,1799.0,-0.1,-56
42,UCF,1796.0,-0.3,+10
43,Texas A&M,1789.0,-0.0,+2
44,Mississippi State,1788.0,-0.4,+9
45,SMU,1777.0,-0.0,+2
46,Ohio State,1776.0,-0.2,-10
47,Maryland,1772.0,-0.2,-17
48,LSU,1768.0,-0.1,+2
49,Virginia,1766.0,-0.1,+17
50,Northwestern,1764.0,,-7
