Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Michigan,2066.0,-1.0,+24
2,Arizona,2040.0,-0.5,+44
3,Houston,2027.0,-0.3,+1
4,Duke,2019.0,-1.0,+0
5,Michigan State,1994.0,-0.4,+6
6,Iowa State,1984.0,-0.1,+6
7,Gonzaga,1981.0,-1.0,+8
8,Florida,1955.0,-1.1,-11
9,Alabama,1928.0,-0.2,-44
10,UConn,1922.0,-0.0,+19
11,Auburn,1921.0,-0.2,+2
12,BYU,1917.0,-0.3,+9
13,Vanderbilt,1910.0,-0.4,+1
14,Nebraska,1901.0,-0.0,+58
15,Arkansas,1900.0,-0.1,+30
16,Purdue,1897.0,-0.0,+21
17,St. John's (NY),1896.0,-0.2,+4
18,Illinois,1892.0,-0.1,+1
19,Texas Tech,1890.0,-0.3,-30
20,Tennessee,1883.0,-0.5,+0
21,Louisville,1870.0,-0.2,+15
22,Kansas,1865.0,-0.4,+7
23,Colorado State,1854.0,-0.0,+2
24,UNC,1853.0,-0.0,+1
25,Wisconsin,1852.0,-0.1,-39
26,Georgia,1849.0,-0.3,+13
27,Iowa,1841.0,-0.4,-0
28,Baylor,1831.0,-0.5,+3
29,New Mexico,1819.0,-0.2,+19
30,Indiana,1815.0,-0.0,+5
31,USC,1815.0,-0.1,+6
32,UCLA,1813.0,-0.1,-8
33,Oklahoma,1811.0,-0.1,+17
34,Missouri,1809.0,-0.4,+3
35,Oklahoma State,1800.0,-0.1,-17
36,Villanova,1798.0,-0.0,-1
37,Kentucky,1797.0,-0.0,+25
38,Saint Mary's,1797.0,-0.2,-8
39,Clemson,1792.0,-0.1,-2
40,Maryland,1789.0,-0.1,-16
41,Texas A&M,1787.0,-0.0,+4
42,Ohio State,1786.0,-0.0,-14
43,UCF,1786.0,-0.2,+0
44,Ole Miss,1781.0,-0.1,+1
45,Colorado,1778.0,-0.0,+4
46,Mississippi State,1778.0,-0.1,+24
47,SMU,1775.0,-0.0,-23
48,Utah State,1774.0,-0.1,+6
49,Northwestern,1771.0,-0.2,+4
50,UC-San Diego,1767.0,,+7
