Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Michigan,2035.0,-0.4,+142
2,Houston,2024.0,-0.8,-17
3,Michigan State,2003.0,-0.6,+12
4,Duke,1988.0,-0.6,+9
5,Florida,1972.0,-0.2,-45
6,Arizona,1967.0,-0.0,+2
7,Alabama,1966.0,-0.5,+9
8,Tennessee,1953.0,-0.4,-3
9,Auburn,1943.0,-0.6,-39
10,Gonzaga,1929.0,-0.1,+36
11,Iowa State,1926.0,-0.8,+47
12,Texas Tech,1907.0,-0.0,+3
13,Purdue,1907.0,-0.3,+2
14,BYU,1900.0,-0.1,+18
15,Vanderbilt,1897.0,-0.5,+89
16,St. John's (NY),1885.0,-0.1,-4
17,UConn,1883.0,-0.3,+19
18,Indiana,1875.0,-0.3,+16
19,Wisconsin,1867.0,-0.4,-28
20,Missouri,1856.0,-0.1,+5
21,Kansas,1853.0,-0.0,+59
22,Baylor,1852.0,-0.0,+15
23,Arkansas,1852.0,-0.2,-9
24,Illinois,1846.0,-0.1,-18
25,Colorado State,1843.0,-0.0,-3
26,Ole Miss,1842.0,-0.1,-35
27,Louisville,1839.0,-0.2,+6
28,USC,1835.0,-0.1,+45
29,Kentucky,1833.0,-0.2,+2
30,Maryland,1829.0,-0.1,-47
31,Iowa,1826.0,-0.1,+23
32,UNC,1824.0,-0.2,-2
33,Nebraska,1820.0,-0.2,+4
34,Texas A&M,1816.0,-0.4,+44
35,Georgia,1807.0,-0.3,+2
36,Northwestern,1800.0,-0.0,-25
37,Clemson,1800.0,-0.0,+1
38,Oklahoma State,1800.0,-0.0,+25
39,Utah State,1800.0,-0.1,+1
40,Oklahoma,1797.0,-0.0,+10
41,UCLA,1796.0,-0.1,-31
42,Texas,1794.0,-0.0,-10
43,Saint Mary's,1793.0,-0.0,-43
44,Creighton,1792.0,-0.1,-26
45,Villanova,1790.0,-0.1,+2
46,Oregon,1787.0,-0.3,-84
47,Ohio State,1780.0,-0.2,-8
48,Colorado,1776.0,-0.0,+45
49,UC-San Diego,1776.0,-0.1,+33
50,UCF,1774.0,,+6
