Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,2028.0,-0.6,-127
2,Florida,2013.0,-1.0,-146
3,Auburn,1989.0,-0.5,-75
4,Alabama,1977.0,-0.5,-35
5,Duke,1965.0,-0.2,-151
6,Michigan State,1959.0,-0.2,-72
7,Tennessee,1954.0,-0.8,-52
8,Arizona,1934.0,-0.8,-19
9,Texas Tech,1914.0,-1.0,-60
10,BYU,1890.0,-0.0,-41
11,Wisconsin,1890.0,-0.2,-38
12,St. John's (NY),1886.0,-0.4,-112
13,Michigan,1877.0,-0.0,-28
14,Kentucky,1876.0,-0.4,+1
15,Ole Miss,1867.0,-0.0,-4
16,UConn,1866.0,-0.1,-64
17,Oregon,1864.0,-0.0,-26
18,Purdue,1864.0,-0.1,-19
19,Illinois,1862.0,-0.0,-16
20,Iowa State,1862.0,-0.2,-33
21,Maryland,1857.0,-0.0,-119
22,Arkansas,1856.0,-0.2,-9
23,Indiana,1852.0,-0.3,+62
24,Creighton,1845.0,-0.0,-56
25,Gonzaga,1844.0,-0.2,-109
26,UCLA,1838.0,-0.1,-8
27,Missouri,1836.0,-0.1,+21
28,Baylor,1834.0,-0.1,-8
29,Colorado State,1831.0,-0.5,-91
30,UNC,1819.0,-0.0,-51
31,Georgia,1819.0,-0.2,+26
32,Texas A&M,1813.0,-0.0,-49
33,Saint Mary's,1812.0,-0.0,-97
34,Louisville,1811.0,-0.1,-66
35,Mississippi State,1808.0,-0.2,+34
36,Vanderbilt,1804.0,-0.0,+97
37,Nebraska,1803.0,-0.1,+15
38,Northwestern,1800.0,-0.0,+13
39,New Mexico,1799.0,-0.1,-79
40,Texas,1797.0,-0.0,+19
41,Oklahoma,1797.0,-0.2,+3
42,Kansas,1793.0,-0.2,-27
43,Penn State,1788.0,-0.0,+18
44,Clemson,1787.0,-0.2,-56
45,Xavier,1783.0,-0.0,-22
46,Iowa,1782.0,-0.0,+38
47,Ohio State,1781.0,-0.0,+28
48,USC,1780.0,-0.6,+39
49,Kansas State,1766.0,-0.0,+34
50,West Virginia,1766.0,,+31
