Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Michigan,2126.0,-0.5,+17
2,Arizona,2113.0,-0.4,+7
3,Houston,2103.0,-1.8,+23
4,Duke,2058.0,-0.4,-19
5,Florida,2049.0,-0.2,+28
6,Illinois,2043.0,-1.7,-7
7,Michigan State,2001.0,-0.0,-17
8,UConn,2000.0,-0.6,-15
9,Iowa State,1986.0,-0.2,+3
10,St. John's (NY),1982.0,-0.6,+27
11,Kansas,1967.0,-0.0,+21
12,Nebraska,1967.0,-0.1,+7
13,Texas Tech,1964.0,-0.2,-6
14,Gonzaga,1959.0,-0.1,-68
15,Purdue,1957.0,-0.8,+2
16,Alabama,1936.0,-0.5,+29
17,Tennessee,1923.0,-0.1,-2
18,Vanderbilt,1920.0,-0.0,-25
19,Iowa,1919.0,-0.2,+23
20,Arkansas,1914.0,-0.3,+26
21,Auburn,1907.0,-0.3,-20
22,Kentucky,1899.0,-0.2,+20
23,Clemson,1893.0,-0.4,+35
24,Utah State,1884.0,-0.0,+59
25,Villanova,1883.0,-0.1,+23
26,UNC,1881.0,-0.1,+26
27,Louisville,1879.0,-0.2,+14
28,BYU,1875.0,-0.1,-39
29,Wisconsin,1872.0,-0.1,-8
30,Virginia,1869.0,-0.1,+12
31,Texas A&M,1867.0,-0.3,-37
32,UCLA,1860.0,-0.4,+17
33,Saint Louis,1851.0,-0.0,+13
34,Saint Mary's,1851.0,-0.3,+11
35,Texas,1843.0,-0.0,+18
36,Indiana,1842.0,-0.2,-8
37,Santa Clara,1837.0,-0.2,+20
38,NC State,1832.0,-0.2,+21
39,San Diego State,1826.0,-0.2,+8
40,Ohio State,1822.0,-0.0,+13
41,Georgia,1822.0,-0.2,+25
42,USC,1817.0,-0.4,+22
43,New Mexico,1808.0,-0.2,-73
44,SMU,1802.0,-0.0,+8
45,Missouri,1802.0,-0.2,+29
46,UCF,1797.0,-0.0,-49
47,Belmont,1797.0,-0.1,+19
48,VCU,1794.0,-0.3,+21
49,Baylor,1787.0,-0.3,+14
50,Oklahoma State,1779.0,,+18
