Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2107.0,-2.2,+31
2,Iowa State,2052.0,-0.6,+115
3,Purdue,2038.0,-0.8,-12
4,Houston,2017.0,-0.5,-60
5,Auburn,2005.0,-1.2,+70
6,Illinois,1976.0,-1.4,+38
7,UNC,1941.0,-0.1,-17
8,Marquette,1938.0,-0.4,+6
9,Creighton,1928.0,-0.6,-30
10,Tennessee,1914.0,-0.4,-52
11,Duke,1903.0,-0.1,-31
12,Baylor,1900.0,-0.1,+2
13,Gonzaga,1898.0,-0.0,-19
14,Kentucky,1897.0,-0.2,-35
15,Arizona,1891.0,-0.1,-21
16,Texas Tech,1889.0,-0.4,+11
17,St. John's (NY),1879.0,-0.0,+35
18,Florida,1878.0,-0.0,+26
19,Saint Mary's,1877.0,-0.1,+39
20,Nebraska,1874.0,-0.0,+9
21,Texas,1873.0,-0.4,-21
22,San Diego State,1864.0,-0.1,+20
23,Wisconsin,1861.0,-0.2,+67
24,Mississippi State,1857.0,-0.2,+50
25,Ohio State,1853.0,-0.0,+26
26,Alabama,1853.0,-0.1,-31
27,BYU,1851.0,-0.1,-15
28,New Mexico,1849.0,-0.4,+94
29,Pitt,1839.0,-0.0,+11
30,Nevada,1839.0,-0.2,-27
31,Kansas,1835.0,-0.2,-51
32,Texas A&M,1831.0,-0.1,+31
33,Michigan State,1829.0,-0.1,+7
34,South Carolina,1827.0,-0.0,-22
35,Colorado,1826.0,-0.4,+9
36,TCU,1817.0,-0.0,+9
37,NC State,1817.0,-0.1,+133
38,Northwestern,1815.0,-0.0,-22
39,Dayton,1814.0,-0.2,-33
40,Florida Atlantic,1808.0,-0.0,-14
41,Cincinnati,1808.0,-0.1,+38
42,Oregon,1806.0,-0.2,+71
43,Kansas State,1801.0,-0.0,+7
44,Washington State,1800.0,-0.1,-2
45,Villanova,1798.0,-0.2,-9
46,Drake,1793.0,-0.4,+0
47,Grand Canyon,1784.0,-0.2,+32
48,James Madison,1780.0,-0.0,+18
49,Seton Hall,1780.0,-0.0,-42
50,Oklahoma,1779.0,,-18
