Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2117.0,-2.3,+10
2,Iowa State,2059.0,-0.4,+7
3,Purdue,2050.0,-0.8,+11
4,Houston,2029.0,-1.3,+11
5,Illinois,1997.0,-0.9,+21
6,Auburn,1975.0,-0.4,-30
7,UNC,1965.0,-0.4,+24
8,Marquette,1955.0,-0.1,+17
9,Creighton,1952.0,-0.0,+24
10,Duke,1951.0,-0.6,+48
11,Gonzaga,1936.0,-0.1,+38
12,Tennessee,1933.0,-0.7,+18
13,Arizona,1915.0,-1.0,+24
14,San Diego State,1889.0,-0.0,+25
15,Alabama,1888.0,-0.4,+35
16,St. John's (NY),1879.0,-0.0,+0
17,Texas,1878.0,-0.0,+6
18,Baylor,1877.0,-0.5,-22
19,Ohio State,1865.0,-0.0,+11
20,Florida,1865.0,-0.0,-13
21,Saint Mary's,1864.0,-0.2,-13
22,Kentucky,1859.0,-0.1,-37
23,Texas A&M,1857.0,-0.0,+26
24,NC State,1857.0,-0.1,+40
25,Texas Tech,1854.0,-0.2,-35
26,Colorado,1850.0,-0.3,+23
27,Michigan State,1843.0,-0.1,+14
28,Nebraska,1840.0,-0.0,-34
29,Pitt,1839.0,-0.3,+0
30,BYU,1831.0,-0.0,-20
31,Northwestern,1831.0,-0.2,+16
32,Cincinnati,1826.0,-0.0,+17
33,Nevada,1825.0,-0.1,-14
34,Wisconsin,1822.0,-0.0,-39
35,Mississippi State,1821.0,-0.1,-36
36,Oregon,1819.0,-0.2,+13
37,Kansas,1815.0,-0.0,-20
38,Clemson,1815.0,-0.2,+85
39,Dayton,1811.0,-0.0,-3
40,Washington State,1811.0,-0.2,+11
41,TCU,1807.0,-0.4,-10
42,Seton Hall,1797.0,-0.0,+17
43,South Carolina,1797.0,-0.1,-30
44,New Mexico,1795.0,-0.4,-54
45,Kansas State,1784.0,-0.0,-17
46,James Madison,1784.0,-0.0,+4
47,Florida Atlantic,1783.0,-0.1,-25
48,Colorado State,1780.0,-0.0,+17
49,Oklahoma,1779.0,-0.0,+0
50,Grand Canyon,1779.0,,-5
