Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,2077.0,-0.1,+21
2,UConn,2075.0,-1.0,+27
3,Purdue,2050.0,-3.4,+20
4,Tennessee,1966.0,-0.3,-10
5,Creighton,1958.0,-0.0,+9
6,UNC,1957.0,-0.8,+31
7,Illinois,1938.0,-0.1,+10
8,Iowa State,1936.0,-0.1,-21
9,Auburn,1934.0,-0.0,+11
10,Duke,1934.0,-0.1,-9
11,Marquette,1932.0,-0.0,-5
12,Kentucky,1931.0,-0.6,+27
13,Gonzaga,1917.0,-0.2,+0
14,Arizona,1912.0,-0.6,-37
15,Baylor,1898.0,-0.2,-8
16,Texas,1893.0,-0.3,+1
17,Kansas,1886.0,-0.1,+2
18,Alabama,1884.0,-0.2,-28
19,Texas Tech,1878.0,-0.4,+45
20,Nevada,1867.0,-0.0,+38
21,BYU,1866.0,-0.0,-0
22,Nebraska,1865.0,-0.5,+11
23,Florida,1852.0,-0.1,+8
24,South Carolina,1850.0,-0.1,+4
25,Dayton,1847.0,-0.2,+13
26,San Diego State,1843.0,-0.0,-39
27,St. John's (NY),1843.0,-0.2,+8
28,Saint Mary's,1838.0,-0.0,+0
29,Northwestern,1837.0,-0.4,+5
30,Pitt,1828.0,-0.0,+17
31,Ohio State,1827.0,-0.2,+35
32,Seton Hall,1822.0,-0.0,+21
33,Michigan State,1821.0,-0.0,+2
34,Florida Atlantic,1821.0,-0.2,+24
35,Colorado,1817.0,-0.2,+33
36,Iowa,1812.0,-0.2,-26
37,TCU,1808.0,-0.0,-4
38,Villanova,1807.0,-0.0,-28
39,Boise State,1807.0,-0.0,-11
40,Mississippi State,1806.0,-0.1,-38
41,Washington State,1803.0,-0.1,-36
42,Texas A&M,1800.0,-0.1,+57
43,Oklahoma,1798.0,-0.1,-7
44,Utah State,1795.0,-0.0,+18
45,Kansas State,1794.0,-0.0,+12
46,Wisconsin,1794.0,-0.0,+9
47,Drake,1793.0,-0.4,+32
48,Wake Forest,1784.0,-0.1,-10
49,Clemson,1782.0,-0.5,+5
50,Cincinnati,1770.0,,+9
