Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2157.0,-3.3,+40
2,Purdue,2076.0,-1.5,+26
3,Iowa State,2038.0,-1.0,-21
4,Houston,2012.0,-0.7,-17
5,Illinois,1994.0,-0.8,-3
6,Auburn,1975.0,-1.0,+0
7,UNC,1950.0,-0.3,-15
8,Tennessee,1942.0,-0.3,+10
9,Duke,1934.0,-0.1,-17
10,Creighton,1932.0,-0.3,-20
11,Marquette,1925.0,-0.1,-31
12,NC State,1922.0,-0.1,+65
13,Gonzaga,1920.0,-0.1,-16
14,Alabama,1918.0,-1.0,+29
15,Arizona,1892.0,-0.5,-23
16,St. John's (NY),1879.0,-0.0,+0
17,Texas,1878.0,-0.0,+0
18,Baylor,1877.0,-0.2,+0
19,San Diego State,1873.0,-0.3,-15
20,Florida,1865.0,-0.0,+0
21,Saint Mary's,1864.0,-0.2,+0
22,Kentucky,1859.0,-0.1,+0
23,Texas A&M,1857.0,-0.1,+0
24,Texas Tech,1854.0,-0.2,+0
25,Colorado,1850.0,-0.3,+0
26,Michigan State,1843.0,-0.1,+0
27,Nebraska,1840.0,-0.0,+0
28,Pitt,1839.0,-0.0,+0
29,Ohio State,1839.0,-0.3,-25
30,BYU,1831.0,-0.0,+0
31,Northwestern,1831.0,-0.2,+0
32,Nevada,1825.0,-0.0,+0
33,Clemson,1824.0,-0.1,+8
34,Wisconsin,1822.0,-0.0,+0
35,Mississippi State,1821.0,-0.1,+0
36,Seton Hall,1819.0,-0.0,+21
37,Oregon,1819.0,-0.2,+0
38,Kansas,1815.0,-0.1,+0
39,Cincinnati,1812.0,-0.0,-13
40,Dayton,1811.0,-0.0,+0
41,Washington State,1811.0,-0.2,+0
42,TCU,1807.0,-0.4,+0
43,South Carolina,1797.0,-0.1,+0
44,New Mexico,1795.0,-0.4,+0
45,Kansas State,1784.0,-0.0,+0
46,James Madison,1784.0,-0.0,+0
47,Florida Atlantic,1783.0,-0.1,+0
48,Colorado State,1780.0,-0.0,+0
49,Oklahoma,1779.0,-0.0,+0
50,Utah,1779.0,,+51
