Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2048.0,-0.4,+18
2,Purdue,2038.0,-1.6,+22
3,Houston,1998.0,-1.5,-18
4,UNC,1960.0,-0.1,-12
5,Alabama,1957.0,-0.1,+34
6,Kansas,1955.0,-0.8,+31
7,Auburn,1936.0,-0.1,+22
8,Tennessee,1934.0,-0.1,-8
9,Marquette,1932.0,-1.2,+20
10,Illinois,1902.0,-0.3,+30
11,Duke,1895.0,-0.2,+4
12,Arizona,1891.0,-0.0,+13
13,Wisconsin,1890.0,-0.2,-39
14,Texas,1885.0,-0.6,+24
15,Iowa State,1871.0,-0.2,-9
16,San Diego State,1865.0,-0.2,+15
17,Texas Tech,1859.0,-0.1,-35
18,Baylor,1857.0,-0.0,+30
19,Creighton,1856.0,-0.1,-17
20,BYU,1853.0,-0.0,+17
21,Michigan State,1852.0,-0.4,+15
22,Saint Mary's,1842.0,-0.2,+20
23,South Carolina,1836.0,-0.0,+52
24,TCU,1835.0,-0.2,-23
25,Oklahoma,1829.0,-0.2,+10
26,Xavier,1825.0,-0.1,+27
27,Dayton,1823.0,-0.0,+11
28,Gonzaga,1822.0,-0.0,-16
29,Florida Atlantic,1822.0,-0.0,+6
30,Nebraska,1821.0,-0.1,+17
31,Maryland,1818.0,-0.0,-15
32,Mississippi State,1817.0,-0.0,-5
33,Cincinnati,1816.0,-0.4,+2
34,Florida,1806.0,-0.0,+10
35,New Mexico,1806.0,-0.0,-35
36,Northwestern,1805.0,-0.0,-34
37,Boise State,1805.0,-0.2,+46
38,Seton Hall,1800.0,-0.0,+3
39,Washington State,1800.0,-0.4,+12
40,Iowa,1791.0,-0.1,-9
41,Butler,1789.0,-0.0,+17
42,Indiana State,1788.0,-0.1,+22
43,Kentucky,1786.0,-0.0,-41
44,Wake Forest,1786.0,-0.0,+12
45,St. John's (NY),1786.0,-0.2,-32
46,Virginia,1780.0,-0.0,+15
47,Utah State,1780.0,-0.2,-79
48,Kansas State,1776.0,-0.2,-54
49,Colorado,1772.0,-0.0,-16
50,Grand Canyon,1771.0,,+20
