Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Michigan,2142.0,-1.6,+4
2,Arizona,2102.0,-0.6,+32
3,Duke,2088.0,-0.2,+20
4,Florida,2082.0,-0.7,+8
5,Houston,2065.0,-1.0,-42
6,Illinois,2041.0,-1.5,+12
7,Purdue,2005.0,-0.0,-5
8,St. John's (NY),2005.0,-0.7,+14
9,Gonzaga,1987.0,-0.1,+8
10,Michigan State,1985.0,-0.4,+23
11,UConn,1976.0,-0.2,-31
12,Alabama,1972.0,-0.0,+14
13,Texas Tech,1971.0,-0.1,-27
14,Tennessee,1969.0,-0.0,+30
15,Iowa State,1969.0,-0.8,-10
16,Arkansas,1950.0,-0.4,-1
17,Nebraska,1941.0,-0.6,-14
18,Vanderbilt,1926.0,-0.4,-32
19,Wisconsin,1916.0,-0.1,-19
20,BYU,1914.0,-0.4,+19
21,Kansas,1905.0,-0.0,-54
22,Virginia,1904.0,-0.0,+13
23,Louisville,1903.0,-0.8,-26
24,Utah State,1884.0,-0.1,-12
25,Villanova,1882.0,-0.2,-20
26,Saint Mary's,1878.0,-0.7,+14
27,Texas,1861.0,-0.2,-20
28,Texas A&M,1857.0,-0.0,+17
29,Cincinnati,1857.0,-0.2,+68
30,Iowa,1853.0,-0.0,+1
31,UCLA,1852.0,-0.0,-1
32,Auburn,1852.0,-0.2,-14
33,Ohio State,1847.0,-0.0,+29
34,Kentucky,1847.0,-0.1,-46
35,Saint Louis,1844.0,-0.2,-13
36,UNC,1840.0,-0.1,-18
37,Santa Clara,1837.0,-0.1,+14
38,Georgia,1835.0,-0.1,+62
39,New Mexico,1832.0,-0.2,+5
40,SMU,1827.0,-0.0,+32
41,Indiana,1826.0,-0.1,-15
42,NC State,1824.0,-1.1,+37
43,VCU,1797.0,-0.1,-12
44,UCF,1794.0,-0.0,+26
45,Belmont,1793.0,-0.3,+3
46,Missouri,1785.0,-0.1,+6
47,Miami (FL),1783.0,-0.4,-2
48,Clemson,1774.0,-0.0,-61
49,San Diego State,1774.0,-0.1,-67
50,TCU,1771.0,,-6
