Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Auburn,2106.0,-1.2,+22
2,Houston,2076.0,-2.0,+22
3,Duke,2027.0,-0.6,+4
4,Michigan State,2011.0,-0.0,+28
5,Florida,2011.0,-0.4,-20
6,St. John's (NY),2002.0,-0.3,+7
7,Tennessee,1995.0,-0.0,+15
8,Alabama,1995.0,-1.8,+8
9,Texas Tech,1950.0,-0.2,-1
10,Wisconsin,1946.0,-0.3,-7
11,Saint Mary's,1939.0,-0.3,+5
12,Maryland,1931.0,-0.2,-7
13,UConn,1926.0,-0.5,+17
14,BYU,1914.0,-0.3,+27
15,Iowa State,1906.0,-0.5,-6
16,Purdue,1894.0,-0.2,+16
17,Marquette,1889.0,-0.0,+28
18,Arizona,1889.0,-0.0,-19
19,Louisville,1889.0,-0.2,+9
20,Illinois,1885.0,-0.4,+73
21,Clemson,1874.0,-0.0,+21
22,Missouri,1874.0,-0.6,-6
23,Kansas,1860.0,-0.1,-7
24,UCLA,1858.0,-0.1,-16
25,Gonzaga,1856.0,-0.2,+5
26,New Mexico,1850.0,-0.1,-14
27,Oregon,1848.0,-0.1,+15
28,Texas A&M,1845.0,-0.1,-34
29,Baylor,1842.0,-0.2,-3
30,Xavier,1838.0,-0.1,+34
31,Michigan,1835.0,-0.0,-41
32,Creighton,1834.0,-0.0,-32
33,Kentucky,1833.0,-0.0,-5
34,VCU,1833.0,-0.0,+16
35,Mississippi State,1832.0,-0.0,-11
36,Memphis,1831.0,-0.2,+18
37,Indiana,1825.0,-0.1,+31
38,Drake,1823.0,-0.3,+5
39,Boise State,1816.0,-0.1,+33
40,Northwestern,1814.0,-0.2,+34
41,Ole Miss,1808.0,-0.1,-0
42,Colorado State,1805.0,-0.1,+46
43,UNC,1803.0,-0.2,+17
44,Georgia,1799.0,-0.0,+70
45,Santa Clara,1798.0,-0.1,+29
46,Villanova,1795.0,-0.3,+17
47,Utah State,1788.0,-0.1,-69
48,Cincinnati,1785.0,-0.2,+7
49,Ohio State,1781.0,-0.0,+20
50,Vanderbilt,1781.0,,+40
