Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2076.0,-2.1,+21
2,Houston,2025.0,-0.4,+13
3,Purdue,2014.0,-2.3,-28
4,Alabama,1956.0,-0.6,+13
5,Iowa State,1940.0,-0.0,+33
6,Arizona,1940.0,-0.2,+8
7,Marquette,1935.0,-0.4,-5
8,Duke,1924.0,-0.1,+19
9,Tennessee,1921.0,-0.0,+23
10,Kansas,1920.0,-0.5,-19
11,Illinois,1907.0,-0.1,+23
12,Creighton,1904.0,-0.0,+39
13,UNC,1903.0,-0.1,-26
14,Auburn,1900.0,-0.2,-22
15,Baylor,1896.0,-0.4,+33
16,Texas Tech,1887.0,-0.1,+31
17,San Diego State,1885.0,-0.0,+27
18,Michigan State,1884.0,-1.0,+29
19,Texas,1860.0,-0.0,-13
20,Florida,1860.0,-0.1,+14
21,Kentucky,1858.0,-0.1,+61
22,Saint Mary's,1855.0,-0.2,+4
23,Washington State,1849.0,-0.1,+21
24,Mississippi State,1846.0,-0.1,+3
25,TCU,1844.0,-0.0,+23
26,Gonzaga,1843.0,-0.2,+9
27,Dayton,1838.0,-0.2,+10
28,Northwestern,1833.0,-0.2,+1
29,Nebraska,1828.0,-0.5,+16
30,Seton Hall,1815.0,-0.1,+49
31,BYU,1813.0,-0.0,-27
32,Wisconsin,1813.0,-0.1,-1
33,Pitt,1810.0,-0.0,+45
34,Oklahoma,1810.0,-0.4,-47
35,Wake Forest,1800.0,-0.1,-19
36,Cincinnati,1798.0,-0.0,-7
37,Nevada,1797.0,-0.0,-3
38,Villanova,1796.0,-0.0,+11
39,South Carolina,1796.0,-0.1,-49
40,Florida Atlantic,1794.0,-0.2,-15
41,New Mexico,1790.0,-0.1,+1
42,Virginia,1787.0,-0.1,-29
43,Colorado State,1785.0,-0.0,+12
44,Drake,1785.0,-0.1,+17
45,Grand Canyon,1782.0,-0.1,+4
46,Maryland,1780.0,-0.0,+3
47,Xavier,1779.0,-0.1,-27
48,Texas A&M,1777.0,-0.1,-33
49,Providence,1774.0,-0.0,+12
50,Kansas State,1773.0,,-15
