Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Arizona,2154.0,-0.3,+5
2,Michigan,2147.0,-0.2,+5
3,Duke,2141.0,-2.8,+8
4,Houston,2071.0,-0.3,+13
5,Purdue,2063.0,-0.7,+7
6,St. John's (NY),2046.0,-0.2,+16
7,Florida,2040.0,-0.7,-21
8,Iowa State,2022.0,-0.2,+16
9,Illinois,2018.0,-0.4,+17
10,Arkansas,2008.0,-0.4,+5
11,Michigan State,1998.0,-0.3,+13
12,Vanderbilt,1991.0,-0.2,-8
13,UConn,1987.0,-0.4,+19
14,Alabama,1976.0,-0.8,+29
15,Tennessee,1957.0,-0.6,+38
16,Gonzaga,1941.0,-0.7,-34
17,Wisconsin,1923.0,-0.4,-24
18,Virginia,1914.0,-0.0,-24
19,Nebraska,1913.0,-0.2,+17
20,UCLA,1907.0,-0.6,-12
21,Kansas,1891.0,-0.3,-4
22,Texas Tech,1884.0,-0.1,-9
23,Oklahoma,1882.0,-0.0,+0
24,Louisville,1881.0,-0.1,-1
25,Iowa,1879.0,-0.2,+43
26,Ohio State,1875.0,-0.0,-16
27,TCU,1874.0,-0.1,+9
28,Kentucky,1871.0,-0.2,-3
29,Texas,1865.0,-0.0,+84
30,Utah State,1865.0,-0.3,+24
31,Cincinnati,1858.0,-0.1,+0
32,VCU,1855.0,-0.3,+6
33,Saint Mary's,1847.0,-0.4,-47
34,Texas A&M,1838.0,-0.0,+36
35,BYU,1837.0,-0.0,-34
36,Santa Clara,1836.0,-0.2,-10
37,Miami (FL),1830.0,-0.2,+12
38,UNC,1825.0,-0.6,-19
39,South Florida,1809.0,-0.1,-8
40,Saint Louis,1807.0,-0.4,+69
41,Auburn,1797.0,-0.0,+8
42,Dayton,1796.0,-0.0,+53
43,New Mexico,1795.0,-0.2,+24
44,Villanova,1790.0,-0.1,-29
45,San Diego State,1787.0,-0.0,+0
46,Clemson,1786.0,-0.2,-21
47,Wichita State,1781.0,-0.4,+69
48,Georgia,1771.0,-0.1,-73
49,Missouri,1769.0,-0.1,-17
50,UCF,1766.0,,-5
