Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Michigan,2109.0,-0.1,+37
2,Arizona,2106.0,-1.0,+14
3,Houston,2080.0,-0.1,+12
4,Duke,2077.0,-1.1,+20
5,Illinois,2050.0,-1.0,+29
6,Gonzaga,2026.0,-0.2,+6
7,Florida,2021.0,-0.1,+45
8,Michigan State,2018.0,-0.1,-27
9,UConn,2015.0,-1.3,+21
10,Iowa State,1982.0,-0.5,+21
11,Texas Tech,1970.0,-0.4,-29
12,Nebraska,1960.0,-0.2,-32
13,Purdue,1955.0,-0.0,+3
14,St. John's (NY),1954.0,-0.3,+8
15,Kansas,1946.0,-0.1,+14
16,Vanderbilt,1944.0,-0.7,+26
17,Auburn,1927.0,-0.1,-10
18,Tennessee,1925.0,-0.4,+27
19,BYU,1914.0,-0.3,-24
20,Alabama,1907.0,-0.1,-4
21,Texas A&M,1904.0,-0.3,+34
22,Iowa,1896.0,-0.3,+24
23,Arkansas,1889.0,-0.3,-25
24,New Mexico,1882.0,-0.1,+28
25,Wisconsin,1880.0,-0.0,+18
26,Kentucky,1879.0,-0.6,+12
27,Louisville,1865.0,-0.2,+5
28,Villanova,1860.0,-0.1,+7
29,Clemson,1858.0,-0.0,+4
30,Virginia,1857.0,-0.1,+13
31,UNC,1854.0,-0.2,+11
32,Indiana,1850.0,-0.2,+33
33,UCF,1846.0,-0.1,+34
34,UCLA,1843.0,-0.1,+11
35,Saint Mary's,1841.0,-0.1,-6
36,Saint Louis,1838.0,-0.5,+18
37,Texas,1825.0,-0.0,+17
38,Utah State,1824.0,-0.2,+21
39,San Diego State,1818.0,-0.0,+2
40,Santa Clara,1817.0,-0.2,+22
41,NC State,1811.0,-0.0,+38
42,Ohio State,1810.0,-0.5,-10
43,Georgia,1797.0,-0.0,-45
44,USC,1796.0,-0.0,-1
45,SMU,1795.0,-0.6,-17
46,Nevada,1779.0,-0.0,+21
47,Belmont,1779.0,-0.2,+17
48,VCU,1773.0,-0.0,+7
49,Baylor,1772.0,-0.0,+17
50,Missouri,1772.0,,-5
