Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,2041.0,-0.9,+0
2,Florida,2018.0,-1.1,+0
3,Michigan State,1991.0,-0.4,+29
4,Auburn,1982.0,-0.1,+1
5,Duke,1979.0,-0.6,+8
6,Arizona,1965.0,-0.3,+15
7,Alabama,1957.0,-0.0,+15
8,Tennessee,1956.0,-2.1,+1
9,Purdue,1905.0,-0.1,+0
10,Texas Tech,1903.0,-0.3,+0
11,Wisconsin,1895.0,-0.1,+3
12,Michigan,1893.0,-0.0,+6
13,Gonzaga,1892.0,-0.1,+2
14,St. John's (NY),1889.0,-0.3,+0
15,BYU,1882.0,-0.1,+0
16,Iowa State,1879.0,-0.0,+1
17,Ole Miss,1878.0,-0.1,+1
18,Maryland,1876.0,-0.2,+1
19,Oregon,1871.0,-0.3,+5
20,UConn,1864.0,-0.0,-12
21,Illinois,1863.0,-0.1,-13
22,Arkansas,1861.0,-0.1,+1
23,Indiana,1859.0,-0.3,+0
24,Missouri,1851.0,-0.2,+0
25,Colorado State,1846.0,-0.4,+0
26,Baylor,1837.0,-0.0,+0
27,Saint Mary's,1836.0,-0.1,+4
28,Louisville,1833.0,-0.1,+0
29,Kentucky,1831.0,-0.2,-29
30,UCLA,1827.0,-0.0,+1
31,UNC,1826.0,-0.0,+2
32,Northwestern,1825.0,-0.3,+12
33,Creighton,1818.0,-0.1,+2
34,Nebraska,1816.0,-0.3,+0
35,Vanderbilt,1809.0,-0.2,+0
36,Georgia,1805.0,-0.1,-19
37,Texas,1803.0,-0.0,+3
38,Iowa,1803.0,-0.2,+3
39,Clemson,1799.0,-0.0,+25
40,Utah State,1799.0,-0.2,+39
41,Kansas,1794.0,-0.1,-8
42,Mississippi State,1792.0,-0.1,+0
43,USC,1789.0,-0.0,+0
44,Ohio State,1788.0,-0.0,+0
45,Villanova,1787.0,-0.0,+11
46,Oklahoma,1787.0,-0.4,+1
47,Cincinnati,1777.0,-0.1,+0
48,Oklahoma State,1775.0,-0.0,+8
49,Boise State,1774.0,-0.0,+4
50,Kansas State,1773.0,,+2
