Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Michigan,2041.0,-0.6,+6
2,Houston,2026.0,-0.3,+2
3,Duke,2019.0,-1.0,+31
4,Arizona,1995.0,-0.3,+28
5,Michigan State,1987.0,-0.4,-15
6,Iowa State,1978.0,-0.2,+52
7,Gonzaga,1973.0,-0.0,+44
8,Alabama,1973.0,-0.3,+7
9,Florida,1966.0,-1.9,-6
10,Texas Tech,1920.0,-0.0,+13
11,Auburn,1919.0,-0.4,-24
12,Vanderbilt,1910.0,-0.1,+12
13,BYU,1907.0,-0.2,+7
14,UConn,1903.0,-0.4,+20
15,Illinois,1892.0,-0.0,+46
16,St. John's (NY),1892.0,-0.0,+7
17,Wisconsin,1891.0,-0.3,+24
18,Tennessee,1883.0,-0.3,-70
19,Purdue,1876.0,-0.2,-31
20,Arkansas,1870.0,-0.5,+18
21,Kansas,1858.0,-0.1,+5
22,Louisville,1855.0,-0.1,+16
23,UNC,1852.0,-0.0,+28
24,Colorado State,1852.0,-0.4,+9
25,Nebraska,1843.0,-0.0,+23
26,Iowa,1842.0,-0.2,+16
27,Georgia,1837.0,-0.4,+30
28,Baylor,1828.0,-0.3,-24
29,UCLA,1821.0,-0.2,+25
30,Oklahoma State,1817.0,-0.3,+16
31,Indiana,1810.0,-0.1,-66
32,USC,1808.0,-0.0,-26
33,Missouri,1807.0,-0.1,-50
34,Maryland,1805.0,-0.0,-24
35,Saint Mary's,1805.0,-0.2,+12
36,Ohio State,1800.0,-0.0,+20
37,New Mexico,1800.0,-0.0,+28
38,Villanova,1799.0,-0.0,+9
39,SMU,1798.0,-0.1,+33
40,Clemson,1795.0,-0.0,-5
41,Oklahoma,1794.0,-0.3,-3
42,UCF,1786.0,-0.1,+12
43,Texas A&M,1783.0,-0.1,-33
44,Ole Miss,1780.0,-0.2,-62
45,Colorado,1774.0,-0.1,-2
46,Creighton,1772.0,-0.0,-20
47,Kentucky,1771.0,-0.1,-62
48,Utah State,1768.0,-0.0,-32
49,Northwestern,1767.0,-0.1,-33
50,VCU,1764.0,,+7
