Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Auburn,2084.0,-1.3,+5
2,Houston,2053.0,-0.9,+12
3,Florida,2031.0,-0.3,+13
4,Duke,2023.0,-1.1,+34
5,St. John's (NY),1995.0,-0.4,+22
6,Alabama,1986.0,-0.1,-21
7,Michigan State,1983.0,-0.1,+46
8,Tennessee,1980.0,-1.1,+22
9,Wisconsin,1953.0,-0.1,-26
10,Texas Tech,1951.0,-0.6,-14
11,Maryland,1937.0,-0.2,+7
12,Saint Mary's,1933.0,-0.8,+24
13,Iowa State,1913.0,-0.2,-3
14,UConn,1908.0,-0.0,-10
15,Arizona,1907.0,-0.8,-15
16,BYU,1887.0,-0.3,+30
17,Texas A&M,1880.0,-0.0,-55
18,Louisville,1880.0,-0.0,+4
19,Missouri,1880.0,-0.1,+7
20,Purdue,1878.0,-0.0,-54
21,Michigan,1877.0,-0.1,-31
22,UCLA,1874.0,-0.3,+9
23,Kansas,1867.0,-0.0,-3
24,Creighton,1866.0,-0.1,+6
25,New Mexico,1864.0,-0.2,-25
26,Marquette,1860.0,-0.1,-37
27,Utah State,1857.0,-0.2,+22
28,Clemson,1853.0,-0.1,+27
29,Gonzaga,1851.0,-0.2,-4
30,Baylor,1845.0,-0.1,-19
31,Mississippi State,1843.0,-0.2,+12
32,Kentucky,1838.0,-0.2,+6
33,Oregon,1833.0,-0.6,+45
34,Drake,1818.0,-0.0,+22
35,VCU,1817.0,-0.1,+29
36,Memphis,1814.0,-0.1,+10
37,Illinois,1812.0,-0.2,-35
38,Ole Miss,1808.0,-0.2,-17
39,Xavier,1803.0,-0.4,+21
40,Indiana,1794.0,-0.3,+39
41,UNC,1786.0,-0.1,+24
42,Boise State,1783.0,-0.1,+36
43,Arkansas,1781.0,-0.0,+22
44,Northwestern,1780.0,-0.0,+70
45,Villanova,1779.0,-0.0,+33
46,Cincinnati,1778.0,-0.2,+4
47,Kansas State,1774.0,-0.0,-57
48,Nebraska,1774.0,-0.2,-44
49,Wake Forest,1769.0,-0.0,-39
50,Santa Clara,1768.0,,+37
