Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,2050.0,-0.5,+16
2,UConn,2038.0,-0.5,+9
3,Purdue,2026.0,-2.7,+4
4,Marquette,1960.0,-0.4,+23
5,Tennessee,1951.0,-0.3,+27
6,Iowa State,1944.0,-0.2,+14
7,Arizona,1939.0,-0.2,+21
8,Alabama,1935.0,-0.1,-28
9,Duke,1932.0,-0.2,-14
10,Creighton,1926.0,-0.2,-24
11,UNC,1921.0,-0.4,+18
12,Illinois,1910.0,-0.2,+17
13,Auburn,1906.0,-0.2,+6
14,Kentucky,1900.0,-0.0,+57
15,Kansas,1899.0,-0.4,-21
16,Baylor,1890.0,-0.2,+14
17,Texas,1884.0,-0.1,+16
18,Gonzaga,1882.0,-0.0,+35
19,San Diego State,1882.0,-0.4,+16
20,Saint Mary's,1872.0,-0.4,+11
21,Northwestern,1862.0,-0.0,+23
22,Mississippi State,1861.0,-0.1,+6
23,Florida,1858.0,-0.3,+5
24,BYU,1850.0,-0.2,+18
25,Nebraska,1844.0,-0.3,-10
26,St. John's (NY),1836.0,-0.1,+80
27,Dayton,1834.0,-0.1,+17
28,South Carolina,1832.0,-0.1,+36
29,Washington State,1830.0,-0.0,-43
30,TCU,1829.0,-0.0,-10
31,Nevada,1828.0,-0.2,+14
32,Michigan State,1824.0,-0.1,-24
33,Wake Forest,1822.0,-0.2,-13
34,Texas Tech,1817.0,-0.3,-75
35,Seton Hall,1810.0,-0.0,-5
36,Oklahoma,1810.0,-0.1,+0
37,Iowa,1808.0,-0.1,+1
38,Villanova,1806.0,-0.0,-3
39,Clemson,1805.0,-0.0,+23
40,Boise State,1804.0,-0.0,+36
41,Wisconsin,1804.0,-0.4,-18
42,Florida Atlantic,1795.0,-0.2,-14
43,Kansas State,1791.0,-0.2,+26
44,Maryland,1786.0,-0.1,+14
45,Ohio State,1783.0,-0.0,+48
46,Providence,1782.0,-0.1,-12
47,Colorado,1779.0,-0.0,+29
48,Pitt,1778.0,-0.0,+4
49,Utah State,1777.0,-0.2,+7
50,Memphis,1773.0,,+33
