Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,2075.0,-0.2,+23
2,Arizona,2069.0,-0.9,+13
3,Michigan,2046.0,-0.7,-33
4,Duke,2029.0,-0.6,+23
5,Iowa State,2014.0,-0.2,+22
6,Gonzaga,2009.0,-0.2,+5
7,Michigan State,2003.0,-0.9,+17
8,Vanderbilt,1981.0,-0.1,+16
9,Illinois,1979.0,-0.1,+22
10,Florida,1977.0,-0.2,+36
11,UConn,1973.0,-0.1,+10
12,Purdue,1971.0,-0.9,+7
13,BYU,1949.0,-0.2,+14
14,Nebraska,1944.0,-0.4,+30
15,Texas Tech,1933.0,-1.0,+2
16,St. John's (NY),1907.0,-0.1,+59
17,Alabama,1905.0,-0.5,-48
18,Auburn,1893.0,-0.3,+15
19,Arkansas,1886.0,-0.4,-20
20,Tennessee,1877.0,-0.2,-13
21,Utah State,1872.0,-0.2,+34
22,Georgia,1866.0,-0.0,-0
23,Villanova,1865.0,-0.2,-17
24,Clemson,1859.0,-0.3,+32
25,UNC,1851.0,-0.1,+4
26,Wisconsin,1848.0,-0.2,+51
27,Louisville,1844.0,-0.0,-15
28,Indiana,1843.0,-0.1,+13
29,Saint Mary's,1841.0,-0.0,+2
30,New Mexico,1841.0,-0.2,+32
31,Kansas,1837.0,-0.2,-23
32,Iowa,1832.0,-0.1,-32
33,Texas A&M,1830.0,-0.3,+32
34,Kentucky,1822.0,-0.0,+8
35,Virginia,1822.0,-0.4,+33
36,UCLA,1812.0,-0.2,-4
37,USC,1807.0,-0.0,-3
38,Creighton,1806.0,-0.2,-15
39,UCF,1802.0,-0.0,-15
40,Oklahoma State,1801.0,-0.1,+13
41,SMU,1798.0,-0.0,-14
42,Mississippi State,1798.0,-0.1,-6
43,Ohio State,1795.0,-0.2,-1
44,Oklahoma,1791.0,-0.2,-39
45,Baylor,1786.0,-0.4,-33
46,Missouri,1777.0,-0.0,+7
47,Saint Louis,1776.0,-0.0,+41
48,Seton Hall,1775.0,-0.2,+20
49,San Diego State,1769.0,-0.0,+31
50,Nevada,1769.0,,-17
