Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2030.0,-0.2,+14
2,Houston,2026.0,-0.4,+22
3,Purdue,2016.0,-2.7,+7
4,UNC,1948.0,-0.8,-16
5,Wisconsin,1929.0,-0.1,+15
6,Kansas,1926.0,-0.1,-11
7,Alabama,1923.0,-0.0,+17
8,Marquette,1922.0,-0.4,+30
9,Auburn,1913.0,-0.0,-33
10,Tennessee,1912.0,-0.2,-26
11,Duke,1908.0,-0.5,+20
12,Illinois,1896.0,-0.6,+15
13,Texas Tech,1882.0,-0.1,-2
14,Iowa State,1880.0,-0.1,+32
15,Arizona,1878.0,-0.2,-6
16,Creighton,1873.0,-0.1,+2
17,TCU,1870.0,-0.5,+30
18,Oklahoma,1858.0,-0.3,+28
19,Texas,1850.0,-0.0,-35
20,San Diego State,1849.0,-0.3,+0
21,New Mexico,1841.0,-0.1,+39
22,Gonzaga,1838.0,-0.0,+8
23,Northwestern,1838.0,-0.0,+42
24,Mississippi State,1838.0,-0.0,+18
25,Michigan State,1837.0,-0.1,-15
26,BYU,1835.0,-0.1,+25
27,Maryland,1833.0,-0.2,+45
28,Kentucky,1827.0,-0.0,+12
29,Baylor,1827.0,-0.2,-18
30,Saint Mary's,1822.0,-0.1,+4
31,Dayton,1819.0,-0.0,-13
32,St. John's (NY),1819.0,-0.1,+22
33,Florida Atlantic,1816.0,-0.0,+12
34,South Carolina,1815.0,-0.0,+37
35,Cincinnati,1814.0,-0.4,+15
36,Memphis,1804.0,-0.0,-55
37,Nebraska,1804.0,-0.2,-30
38,Seton Hall,1800.0,-0.1,-38
39,Xavier,1798.0,-0.0,-14
40,Florida,1797.0,-0.1,+27
41,Utah State,1795.0,-0.1,-45
42,Kansas State,1792.0,-0.1,-69
43,Providence,1789.0,-0.0,+28
44,Colorado,1788.0,-0.0,+11
45,Washington State,1788.0,-0.2,+49
46,Iowa,1784.0,-0.4,-12
47,Wake Forest,1773.0,-0.0,+0
48,Butler,1772.0,-0.2,+13
49,Indiana State,1766.0,-0.0,+17
50,Virginia,1765.0,,+29
