Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Michigan,2079.0,-0.9,+13
2,Arizona,2056.0,-0.2,+9
3,Houston,2052.0,-1.8,+7
4,Duke,2007.0,-0.1,+3
5,Gonzaga,2004.0,-0.5,+6
6,Iowa State,1992.0,-0.2,+7
7,Michigan State,1986.0,-0.8,-10
8,Vanderbilt,1965.0,-0.0,+13
9,Purdue,1965.0,-0.1,+34
10,UConn,1963.0,-0.2,+22
11,Illinois,1958.0,-0.2,+9
12,Alabama,1953.0,-0.5,+20
13,Florida,1941.0,-0.2,-16
14,BYU,1935.0,-0.2,+12
15,Texas Tech,1931.0,-0.7,+15
16,Nebraska,1914.0,-0.3,+13
17,Arkansas,1906.0,-0.6,+22
18,Tennessee,1890.0,-0.3,-18
19,Villanova,1882.0,-0.2,+28
20,Auburn,1878.0,-0.5,-9
21,Georgia,1866.0,-0.1,+14
22,Iowa,1864.0,-0.2,+19
23,Kansas,1860.0,-0.0,-17
24,Louisville,1859.0,-0.4,+7
25,St. John's (NY),1848.0,-0.0,-27
26,UNC,1847.0,-0.3,-26
27,Saint Mary's,1839.0,-0.0,+17
28,Utah State,1838.0,-0.3,+9
29,Indiana,1831.0,-0.0,+11
30,Oklahoma,1830.0,-0.1,+17
31,Clemson,1827.0,-0.2,+20
32,Creighton,1821.0,-0.1,-5
33,Baylor,1818.0,-0.0,-18
34,UCF,1817.0,-0.0,+17
35,UCLA,1816.0,-0.1,-18
36,Kentucky,1814.0,-0.1,-12
37,SMU,1811.0,-0.0,+29
38,USC,1810.0,-0.0,-9
39,New Mexico,1809.0,-0.2,-14
40,Mississippi State,1805.0,-0.2,+17
41,Texas A&M,1799.0,-0.1,+9
42,Wisconsin,1797.0,-0.0,-21
43,Ohio State,1796.0,-0.0,+17
44,Oregon,1796.0,-0.3,+32
45,Virginia,1789.0,-0.0,+17
46,Oklahoma State,1788.0,-0.1,-13
47,Nevada,1786.0,-0.2,+46
48,VCU,1781.0,-0.2,+25
49,Colorado State,1777.0,-0.3,-22
50,Missouri,1770.0,,+17
