Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,2156.0,-0.9,+25
2,Florida,2133.0,-0.2,+27
3,Duke,2127.0,-2.0,+38
4,Auburn,2078.0,-1.9,+32
5,Michigan State,2032.0,-0.8,-10
6,Alabama,2012.0,-0.2,+7
7,Tennessee,2006.0,-0.3,-5
8,St. John's (NY),1998.0,-0.9,+0
9,Maryland,1976.0,-0.1,-19
10,Texas Tech,1973.0,-0.8,-1
11,Gonzaga,1953.0,-0.0,+0
12,Arizona,1952.0,-0.8,-11
13,BYU,1931.0,-0.0,-34
14,UConn,1931.0,-0.1,+0
15,Wisconsin,1928.0,-0.2,+0
16,Colorado State,1922.0,-0.5,+0
17,Saint Mary's,1909.0,-0.2,+0
18,Michigan,1905.0,-0.2,-15
19,Creighton,1900.0,-0.2,+0
20,Iowa State,1894.0,-0.2,+0
21,Oregon,1890.0,-0.2,+0
22,Purdue,1884.0,-0.2,-4
23,Illinois,1878.0,-0.0,+0
24,New Mexico,1878.0,-0.0,+0
25,Louisville,1877.0,-0.0,+0
26,Kentucky,1876.0,-0.2,-16
27,Ole Miss,1871.0,-0.0,-6
28,UNC,1870.0,-0.2,+0
29,Arkansas,1865.0,-0.1,-7
30,VCU,1862.0,-0.0,+0
31,Texas A&M,1861.0,-0.0,+0
32,UC-San Diego,1860.0,-0.3,+0
33,Drake,1852.0,-0.2,+0
34,UCLA,1847.0,-0.1,+0
35,Marquette,1844.0,-0.0,+0
36,Baylor,1843.0,-0.0,+0
37,Clemson,1843.0,-0.1,+0
38,Memphis,1841.0,-0.7,+0
39,Boise State,1823.0,-0.1,+0
40,Kansas,1820.0,-0.2,+0
41,Missouri,1814.0,-0.4,+0
42,Xavier,1805.0,-0.4,+0
43,Oklahoma,1795.0,-0.1,+0
44,Georgia,1793.0,-0.1,+0
45,Indiana,1790.0,-0.1,+0
46,Northwestern,1788.0,-0.3,+0
47,Utah State,1781.0,-0.1,+0
48,Texas,1778.0,-0.2,+0
49,Mississippi State,1774.0,-0.0,+0
50,Villanova,1773.0,,+0
