Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Michigan,2181.0,-1.9,+12
2,Arizona,2133.0,-0.3,+14
3,Florida,2126.0,-0.0,+12
4,Duke,2125.0,-3.1,+19
5,Houston,2048.0,-0.9,+11
6,Illinois,2025.0,-0.6,+9
7,Michigan State,2010.0,-0.4,-6
8,St. John's (NY),1999.0,-0.7,+9
9,UConn,1981.0,-0.3,-35
10,Arkansas,1974.0,-0.1,+28
11,Alabama,1971.0,-0.3,-23
12,Gonzaga,1963.0,-0.6,+0
13,Iowa State,1949.0,-0.2,+1
14,Purdue,1944.0,-0.2,-17
15,Texas Tech,1939.0,-0.1,-71
16,Vanderbilt,1936.0,-0.1,+28
17,Nebraska,1934.0,-0.4,-29
18,Tennessee,1924.0,-0.0,-10
19,Saint Mary's,1923.0,-0.0,+0
20,Wisconsin,1923.0,-0.2,+34
21,Virginia,1919.0,-0.4,+6
22,UCLA,1909.0,-0.4,+62
23,Kansas,1898.0,-0.2,-31
24,Louisville,1894.0,-0.1,+21
25,Villanova,1892.0,-0.2,+28
26,Ohio State,1886.0,-0.4,+33
27,Georgia,1876.0,-0.4,+42
28,TCU,1867.0,-0.1,+68
29,Cincinnati,1865.0,-0.2,+4
30,UNC,1860.0,-0.2,+2
31,Kentucky,1855.0,-0.2,-32
32,Texas A&M,1850.0,-0.5,+30
33,BYU,1837.0,-0.0,-1
34,Iowa,1836.0,-0.1,-15
35,Texas,1833.0,-0.0,-37
36,Oklahoma,1833.0,-0.2,+47
37,Santa Clara,1828.0,-0.0,+3
38,VCU,1827.0,-0.3,+23
39,Miami (FL),1819.0,-0.6,+9
40,Missouri,1805.0,-0.3,-39
41,Utah State,1798.0,-0.1,-57
42,South Florida,1796.0,-0.1,+14
43,Indiana,1793.0,-0.3,+12
44,Clemson,1786.0,-0.1,-6
45,Auburn,1784.0,-0.0,+2
46,San Diego State,1783.0,-0.0,-14
47,Boise State,1782.0,-0.3,+54
48,New Mexico,1774.0,-0.3,-47
49,Miami (OH),1766.0,-0.1,+6
50,UCF,1764.0,,-63
