Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Michigan,2138.0,-1.3,+12
2,Houston,2107.0,-1.3,+4
3,Florida,2074.0,-0.2,+25
4,Arizona,2070.0,-0.1,-43
5,Duke,2067.0,-1.5,+10
6,Illinois,2029.0,-0.8,-14
7,Purdue,2010.0,-0.1,+53
8,UConn,2008.0,-0.4,+8
9,Texas Tech,1998.0,-0.2,+34
10,St. John's (NY),1992.0,-0.5,+10
11,Gonzaga,1979.0,-0.0,+20
12,Iowa State,1979.0,-0.7,-7
13,Michigan State,1962.0,-0.1,-39
14,Kansas,1959.0,-0.0,-8
15,Alabama,1958.0,-0.0,+22
16,Vanderbilt,1958.0,-0.1,+38
17,Nebraska,1955.0,-0.2,-12
18,Arkansas,1951.0,-0.5,+37
19,Tennessee,1939.0,-0.1,+16
20,Wisconsin,1936.0,-0.3,+63
21,Louisville,1929.0,-1.1,+51
22,Villanova,1902.0,-0.2,+19
23,Utah State,1896.0,-0.1,+12
24,BYU,1894.0,-0.0,+20
25,Kentucky,1893.0,-0.1,-7
26,Virginia,1891.0,-0.4,+22
27,Texas,1881.0,-0.6,+38
28,Auburn,1866.0,-0.1,-41
29,Saint Mary's,1864.0,-0.2,+13
30,UNC,1858.0,-0.0,-22
31,Saint Louis,1857.0,-0.2,+6
32,UCLA,1852.0,-0.0,-8
33,Iowa,1852.0,-0.4,-68
34,Indiana,1841.0,-0.0,-2
35,San Diego State,1841.0,-0.1,+15
36,Texas A&M,1839.0,-0.2,-28
37,Clemson,1835.0,-0.3,-58
38,New Mexico,1827.0,-0.1,+18
39,Santa Clara,1824.0,-0.2,-14
40,Ohio State,1819.0,-0.4,-4
41,VCU,1809.0,-0.2,+15
42,USC,1804.0,-0.4,-13
43,SMU,1794.0,-0.2,-8
44,Belmont,1790.0,-0.0,-7
45,West Virginia,1789.0,-0.0,+28
46,Cincinnati,1789.0,-0.1,+38
47,NC State,1787.0,-0.1,-45
48,Miami (FL),1784.0,-0.2,+40
49,Missouri,1778.0,-0.0,-23
50,TCU,1777.0,,+51
