Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Auburn,2079.0,-1.5,+37
2,Houston,2041.0,-0.9,+22
3,Florida,2018.0,-0.4,+21
4,Alabama,2007.0,-0.7,-7
5,Duke,1989.0,-0.4,+9
6,Wisconsin,1979.0,-0.2,+33
7,St. John's (NY),1973.0,-0.3,-11
8,Texas Tech,1965.0,-0.3,+24
9,Tennessee,1957.0,-0.8,-30
10,Michigan State,1938.0,-0.1,+1
11,Texas A&M,1935.0,-0.1,+17
12,Purdue,1932.0,-0.1,-44
13,Maryland,1930.0,-0.3,+33
14,Arizona,1922.0,-0.2,-28
15,UConn,1918.0,-0.1,-11
16,Iowa State,1916.0,-0.2,+24
17,Saint Mary's,1910.0,-0.1,+13
18,Michigan,1907.0,-0.4,+27
19,Marquette,1897.0,-0.3,+3
20,New Mexico,1889.0,-0.5,+9
21,Louisville,1876.0,-0.1,+29
22,Missouri,1873.0,-0.1,+50
23,Kansas,1871.0,-0.2,-28
24,UCLA,1865.0,-0.1,+9
25,Baylor,1863.0,-0.1,-3
26,Creighton,1860.0,-0.1,-24
27,BYU,1857.0,-0.1,+37
28,Gonzaga,1855.0,-0.3,+15
29,Illinois,1847.0,-0.3,-24
30,Ohio State,1840.0,-0.2,-3
31,Utah State,1835.0,-0.1,+3
32,Kentucky,1832.0,-0.0,+20
33,Mississippi State,1831.0,-0.0,+21
34,Kansas State,1830.0,-0.2,-8
35,Clemson,1826.0,-0.0,+56
36,Ole Miss,1825.0,-0.3,-29
37,Nebraska,1817.0,-0.4,-6
38,Wake Forest,1808.0,-0.2,+11
39,Memphis,1804.0,-0.3,-23
40,Drake,1796.0,-0.3,-14
41,Oregon,1789.0,-0.0,+27
42,VCU,1788.0,-0.0,+14
43,Texas,1787.0,-0.1,-7
44,George Mason,1785.0,-0.1,+12
45,Xavier,1782.0,-0.3,+32
46,Cincinnati,1774.0,-0.1,+1
47,San Diego State,1772.0,-0.2,+35
48,USC,1768.0,-0.1,-7
49,SMU,1765.0,-0.0,-21
50,Colorado State,1765.0,,+0
