Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2055.0,-0.5,+7
2,Purdue,2043.0,-1.3,+5
3,Houston,2012.0,-2.8,+14
4,Alabama,1943.0,-0.1,-14
5,Marquette,1940.0,-0.0,+9
6,Kansas,1939.0,-0.3,-16
7,Arizona,1932.0,-0.1,+41
8,UNC,1929.0,-0.3,-31
9,Auburn,1922.0,-0.6,-14
10,Iowa State,1907.0,-0.1,+36
11,Duke,1904.0,-0.2,+10
12,Tennessee,1898.0,-0.6,-36
13,Illinois,1883.0,-0.4,-19
14,Texas,1873.0,-0.3,-12
15,Creighton,1865.0,-0.1,+9
16,Baylor,1862.0,-0.1,+6
17,San Diego State,1859.0,-0.1,-6
18,Oklahoma,1857.0,-0.0,+28
19,Texas Tech,1856.0,-0.0,-4
20,Michigan State,1855.0,-0.1,+3
21,Saint Mary's,1852.0,-0.2,+10
22,Florida,1846.0,-0.0,+39
23,South Carolina,1845.0,-0.1,+9
24,Mississippi State,1843.0,-0.1,+25
25,BYU,1840.0,-0.2,-13
26,Gonzaga,1835.0,-0.1,+13
27,Northwestern,1832.0,-0.1,+28
28,Washington State,1829.0,-0.0,+29
29,Dayton,1828.0,-0.3,+5
30,TCU,1821.0,-0.1,-14
31,Wake Forest,1818.0,-0.1,+33
32,Virginia,1816.0,-0.1,+36
33,Wisconsin,1814.0,-0.1,-76
34,Nebraska,1812.0,-0.1,-9
35,Texas A&M,1810.0,-0.0,+63
36,Florida Atlantic,1809.0,-0.1,-13
37,Xavier,1807.0,-0.1,-18
38,Cincinnati,1805.0,-0.2,-10
39,Nevada,1801.0,-0.2,+57
40,Kentucky,1797.0,-0.0,+11
41,Indiana State,1796.0,-0.1,+8
42,Butler,1794.0,-0.2,+5
43,New Mexico,1789.0,-0.0,-17
44,Kansas State,1788.0,-0.1,+12
45,Villanova,1785.0,-0.2,+30
46,St. John's (NY),1781.0,-0.1,-5
47,Iowa,1779.0,-0.0,-11
48,Grand Canyon,1778.0,-0.0,+6
49,Maryland,1777.0,-0.2,-40
50,Colorado State,1773.0,,+30
