Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,2087.0,-1.5,+12
2,Duke,2049.0,-0.2,+23
3,Auburn,2043.0,-0.1,-63
4,Florida,2040.0,-0.6,+29
5,Michigan State,2026.0,-0.6,+15
6,St. John's (NY),2012.0,-0.7,+9
7,Alabama,1994.0,-0.5,-1
8,Tennessee,1982.0,-0.5,-13
9,Texas Tech,1970.0,-0.5,+20
10,Maryland,1957.0,-0.7,+26
11,Saint Mary's,1939.0,-0.0,+0
12,UConn,1939.0,-0.1,+13
13,BYU,1936.0,-0.7,+22
14,Iowa State,1918.0,-0.7,+11
15,Illinois,1901.0,-0.0,+16
16,Texas A&M,1901.0,-0.0,+56
17,Louisville,1900.0,-0.4,+11
18,Purdue,1891.0,-0.0,-3
19,Wisconsin,1890.0,-0.0,-56
20,UCLA,1889.0,-0.3,+31
21,Clemson,1882.0,-0.1,+8
22,Arizona,1879.0,-0.3,-10
23,Kansas,1872.0,-0.0,+12
24,Kentucky,1872.0,-0.1,+39
25,Oregon,1870.0,-0.0,+22
26,New Mexico,1870.0,-0.0,+20
27,Marquette,1869.0,-0.3,-20
28,Xavier,1862.0,-0.2,+24
29,Gonzaga,1856.0,-0.0,+0
30,Drake,1855.0,-0.2,+32
31,Creighton,1851.0,-0.2,+17
32,Colorado State,1846.0,-0.1,+41
33,Baylor,1844.0,-0.2,+3
34,Memphis,1839.0,-0.3,+7
35,Georgia,1831.0,-0.3,+32
36,VCU,1824.0,-0.1,-9
37,Indiana,1822.0,-0.2,-3
38,Ole Miss,1816.0,-0.0,+8
39,Missouri,1816.0,-0.2,-58
40,Michigan,1811.0,-0.0,-25
41,UNC,1810.0,-0.6,+7
42,Arkansas,1796.0,-0.1,+47
43,Mississippi State,1794.0,-0.1,-39
44,Utah State,1792.0,-0.1,+3
45,Boise State,1790.0,-0.0,-26
46,Oklahoma,1789.0,-0.0,+48
47,Northwestern,1788.0,-0.3,-26
48,Villanova,1781.0,-0.1,-15
49,San Diego State,1779.0,-0.1,-3
50,Dayton,1777.0,,+33
