Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Michigan,2169.0,-2.1,+27
2,Arizona,2118.0,-0.1,+16
3,Florida,2115.0,-0.4,+32
4,Duke,2106.0,-2.8,+19
5,Houston,2037.0,-0.8,-28
6,Michigan State,2017.0,-0.0,+32
7,UConn,2016.0,-0.0,+40
8,Illinois,2015.0,-0.2,-26
9,Texas Tech,2010.0,-0.6,+39
10,Alabama,1994.0,-0.2,+21
11,St. John's (NY),1990.0,-1.1,-15
12,Gonzaga,1963.0,-0.0,-23
13,Nebraska,1963.0,-0.1,+22
14,Purdue,1961.0,-0.5,-43
15,Iowa State,1948.0,-0.1,-20
16,Arkansas,1946.0,-0.5,-5
17,Tennessee,1934.0,-0.2,-34
18,Kansas,1929.0,-0.2,+24
19,Saint Mary's,1923.0,-0.4,+45
20,Virginia,1913.0,-0.2,+9
21,Vanderbilt,1908.0,-0.8,-18
22,Wisconsin,1889.0,-0.1,-27
23,Kentucky,1887.0,-0.6,+40
24,Louisville,1873.0,-0.1,-30
25,Texas,1870.0,-0.2,+9
26,Villanova,1864.0,-0.1,-18
27,Cincinnati,1861.0,-0.1,+4
28,UNC,1858.0,-0.1,+18
29,Utah State,1856.0,-0.1,-28
30,Ohio State,1853.0,-0.1,+5
31,Iowa,1851.0,-0.2,-2
32,UCLA,1846.0,-0.1,-5
33,Missouri,1844.0,-0.2,+59
34,BYU,1838.0,-0.1,-76
35,Georgia,1835.0,-0.3,-0
36,UCF,1827.0,-0.1,+33
37,Santa Clara,1825.0,-0.2,-13
38,Texas A&M,1820.0,-0.0,-36
39,New Mexico,1820.0,-0.2,-11
40,Saint Louis,1814.0,-0.2,-30
41,Miami (FL),1810.0,-0.3,+28
42,VCU,1803.0,-0.2,+6
43,TCU,1799.0,-0.1,+28
44,San Diego State,1797.0,-0.2,+23
45,Clemson,1792.0,-0.2,+18
46,Oklahoma,1786.0,-0.2,+60
47,Auburn,1782.0,-0.0,-70
48,South Florida,1782.0,-0.0,+18
49,Indiana,1781.0,-0.3,-45
50,NC State,1773.0,,-51
