Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,2047.0,-0.4,+22
2,UConn,2038.0,-0.5,-37
3,Purdue,2026.0,-3.1,+11
4,Marquette,1948.0,-0.4,+13
5,Kansas,1939.0,-0.0,+19
6,Tennessee,1938.0,-0.2,+17
7,Iowa State,1933.0,-0.1,-7
8,Duke,1930.0,-0.2,+6
9,Arizona,1925.0,-0.2,-15
10,Alabama,1921.0,-0.1,-35
11,UNC,1919.0,-0.0,+16
12,Auburn,1919.0,-0.4,+19
13,Creighton,1909.0,-0.2,+5
14,Illinois,1903.0,-0.7,-3
15,Kentucky,1886.0,-0.2,+27
16,San Diego State,1881.0,-0.2,-4
17,Mississippi State,1876.0,-0.3,+30
18,Nebraska,1868.0,-0.1,+40
19,Saint Mary's,1865.0,-0.0,+10
20,Baylor,1864.0,-0.4,-32
21,Florida,1855.0,-0.0,-4
22,TCU,1855.0,-0.0,+11
23,Gonzaga,1854.0,-0.1,+10
24,Texas Tech,1852.0,-0.0,-35
25,Wake Forest,1851.0,-0.0,+52
26,Texas,1850.0,-0.4,-11
27,Northwestern,1839.0,-0.5,+6
28,Seton Hall,1827.0,-0.0,+12
29,Washington State,1826.0,-0.1,-23
30,Michigan State,1824.0,-0.1,-60
31,South Carolina,1822.0,-0.0,+25
32,Wisconsin,1822.0,-0.0,+9
33,Oklahoma,1821.0,-0.2,+11
34,Dayton,1816.0,-0.1,-22
35,Nevada,1814.0,-0.2,+17
36,BYU,1810.0,-0.0,-3
37,Maryland,1809.0,-0.4,+28
38,Villanova,1800.0,-0.1,+4
39,St. John's (NY),1797.0,-0.0,+48
40,Iowa,1796.0,-0.0,+25
41,Florida Atlantic,1795.0,-0.0,+0
42,Providence,1794.0,-0.1,+20
43,Pitt,1792.0,-0.0,-18
44,Clemson,1792.0,-0.2,+32
45,Boise State,1787.0,-0.0,+25
46,Kansas State,1786.0,-0.6,+13
47,Utah State,1770.0,-0.0,+20
48,Colorado,1769.0,-0.0,+19
49,New Mexico,1769.0,-0.4,-21
50,Ohio State,1759.0,,+8
