Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,2122.0,-0.9,+32
2,Florida,2100.0,-1.0,+60
3,Duke,2074.0,-0.8,+20
4,St. John's (NY),2053.0,-1.0,+40
5,Auburn,2029.0,-0.1,-14
6,Michigan State,2026.0,-1.3,-7
7,Tennessee,1995.0,-0.3,+13
8,Alabama,1988.0,-0.4,-6
9,Maryland,1977.0,-0.8,+16
10,Texas Tech,1956.0,-0.6,-14
11,Gonzaga,1940.0,-0.1,+31
12,Arizona,1938.0,-0.0,+32
13,BYU,1937.0,-0.2,-5
14,Wisconsin,1931.0,-0.2,+34
15,UConn,1926.0,-0.2,-13
16,Saint Mary's,1920.0,-0.0,-18
17,Iowa State,1920.0,-0.3,+3
18,Colorado State,1913.0,-0.2,+49
19,Louisville,1907.0,-0.4,+2
20,Michigan,1896.0,-0.4,+84
21,Creighton,1885.0,-0.1,+16
22,Illinois,1882.0,-0.1,-17
23,VCU,1879.0,-0.2,+29
24,Oregon,1875.0,-0.0,+9
25,Texas A&M,1874.0,-0.2,-28
26,Clemson,1868.0,-0.0,-4
27,New Mexico,1868.0,-0.1,-12
28,Marquette,1865.0,-0.0,-6
29,Purdue,1864.0,-0.2,-38
30,UC-San Diego,1860.0,-0.1,+27
31,Memphis,1858.0,-0.1,+19
32,Drake,1855.0,-0.1,+0
33,Kentucky,1852.0,-0.0,-19
34,Xavier,1851.0,-0.2,-11
35,UCLA,1846.0,-0.1,-26
36,Kansas,1843.0,-0.0,-13
37,Baylor,1842.0,-0.2,+14
38,UNC,1837.0,-0.3,+24
39,Missouri,1830.0,-0.3,+14
40,Boise State,1823.0,-0.0,+19
41,Ole Miss,1822.0,-0.4,+7
42,Georgia,1813.0,-0.2,-21
43,San Diego State,1808.0,-0.2,-26
44,Oklahoma,1803.0,-0.3,+13
45,Arkansas,1795.0,-0.0,-4
46,Utah State,1794.0,-0.2,-2
47,Indiana,1790.0,-0.1,-21
48,Northwestern,1788.0,-0.0,-0
49,Mississippi State,1788.0,-0.6,-6
50,Villanova,1773.0,,-11
