Western Carolina, -3.5 ,Furman,20250206,022321
Mercer, 21.5 ,Samford,20250206,022321
Southern Illinois, -10.5 ,Evansville,20250206,022321
Tulsa, 16.5 ,Memphis,20250206,022321
North Alabama, -11.5 ,Austin Peay,20250206,022321
Tulane, 3.5 ,UTSA,20250206,022321
Illinois State, -1.5 ,UIC,20250206,022321
West Virginia, 8.5 ,TCU,20250206,022321
Illinois, 4.5 ,Rutgers,20250206,022321
Creighton, -1.5 ,Providence,20250206,022321
Arkansas, 1.5 ,Texas,20250206,022321
SMU, -7.5 ,Virginia Tech,20250206,022321
Villanova, -6.5 ,DePaul,20250206,022321
Belmont, 3.5 ,Bradley,20250206,022321
Arkansas State, -7.5 ,Marshall,20250206,022321
LSU, 5.5 ,Georgia,20250206,022321
Colorado, 5.5 ,Utah,20250206,022321
Nebraska, -2 ,Washington,20250206,022321
Colorado State, 8.5 ,New Mexico,20250206,022321
North Carolina State, 1 ,California,20250206,022321
Wake Forest, 3 ,Stanford,20250206,022321
East Tennessee State,NL,VMI,20250206,022321
Holy Cross,NL,Army,20250206,022321
Milwaukee,NL,IU Indy,20250206,022321
Southern Miss,NL,Appalachian State,20250206,022321
Oregon,NL,Michigan,20250206,022321
Butler,NL,Seton Hall,20250206,022321
Rhode Island,NL,Fordham,20250206,022321
Cincinnati,NL,UCF,20250206,022321
Cleveland State,NL,Northern Kentucky,20250206,022321
Louisville,NL,Boston College,20250206,022321
Navy,NL,Boston University,20250206,022321
Louisiana,NL,Georgia Southern,20250206,022321
Valparaiso,NL,Indiana State,20250206,022321
Duquesne,NL,Richmond,20250206,022321
Texas State,NL,Old Dominion,20250206,022321
Detroit Mercy,NL,Robert Morris,20250206,022321
High Point,NL,Radford,20250206,022321
Lipscomb,NL,West Georgia,20250206,022321
American,NL,Bucknell,20250206,022321
Chattanooga,NL,Wofford,20250206,022321
Troy,NL,James Madison,20250206,022321
Winthrop,NL,Charleston Southern,20250206,022321
South Alabama,NL,Coastal Carolina,20250206,022321
Northern Iowa,NL,Missouri State,20250206,022321
Louisiana-Monroe,NL,Georgia State,20250206,022321
Missouri,NL,Tennessee,20250206,022321
UNC Greensboro,NL,The Citadel,20250206,022321
George Mason,NL,George Washington,20250206,022321
Loyola Maryland,NL,Lafayette,20250206,022321
USC Upstate,NL,Presbyterian,20250206,022321
Wright State,NL,Purdue Fort Wayne,20250206,022321
Duke,NL,Syracuse,20250206,022321
Rice,NL,East Carolina,20250206,022321
Queens University,NL,Central Arkansas,20250206,022321
