Morgan State, -18.5 ,North Carolina Central,20250218,025213
Houston Christian, 3.5 ,Texas A&M-Corpus Christi,20250218,025213
Delaware State, 13.5 ,Norfolk State,20250218,025213
Duke, -21.5 ,Virginia,20250218,025213
Texas Southern, 12.5 ,Southern University,20250218,025213
Kansas State, 1.5 ,Utah,20250218,025213
Arizona, 2.5 ,Baylor,20250218,025213
Maryland-Eastern Shore,NL,Howard,20250218,025213
Alabama State,NL,Mississippi Valley State,20250218,025213
Alabama A&M,NL,Arkansas-Pine Bluff,20250218,025213
McNeese,NL,Southeastern Louisiana,20250218,025213
Alcorn State,NL,Florida A&M,20250218,025213
Jackson State,NL,Bethune-Cookman,20250218,025213
Northern Iowa,NL,Murray State,20250218,025213
Lehigh,NL,Bucknell,20250218,025213
Coppin State,NL,South Carolina State,20250218,025213
Stephen F. Austin,NL,East Texas A&M,20250218,025213
Lamar,NL,Northwestern State,20250218,025213
Incarnate Word,NL,UT Rio Grande Valley,20250218,025213
Nicholls State,NL,New Orleans,20250218,025213
Prairie View A&M,NL,Grambling State,20250218,025213
