Stony Brook, 8.5 ,Hampton,20250224,142200
UNC Wilmington, -2.5 ,William & Mary,20250224,142200
North Carolina, -2.5 ,Florida State,20250224,142200
Northeastern, -1.5 ,Monmouth,20250224,142200
Bethune-Cookman, 2.5 ,Alabama State,20250224,142200
UT Rio Grande Valley, 15.5 ,McNeese,20250224,142200
Eastern Kentucky, 2.5 ,Jacksonville,20250224,142200
North Florida, 7.5 ,Florida Gulf Coast,20250224,142200
Bellarmine, 1.5 ,Stetson,20250224,142200
Northwestern State, 7.5 ,Southeastern Louisiana,20250224,142200
Lipscomb, -8.5 ,Austin Peay,20250224,142200
Queens University, -7.5 ,West Georgia,20250224,142200
Texas A&M-Corpus Christi, 2.5 ,Nicholls State,20250224,142200
Lamar, -1.5 ,Incarnate Word,20250224,142200
East Texas A&M, 1.5 ,New Orleans,20250224,142200
North Carolina Central, 3.5 ,Delaware State,20250224,142200
North Alabama, -11.5 ,Central Arkansas,20250224,142200
Michigan, -1.5 ,Nebraska,20250224,142200
Morgan State, 13.5 ,Norfolk State,20250224,142200
Arkansas-Pine Bluff, 13.5 ,Texas Southern,20250224,142200
Florida A&M, -1.5 ,Alabama A&M,20250224,142200
Stephen F. Austin, -1.5 ,Houston Christian,20250224,142200
South Carolina State, -14.5 ,Maryland-Eastern Shore,20250224,142200
Howard, -8.5 ,Coppin State,20250224,142200
Mississippi Valley State, 17.5 ,Prairie View A&M,20250224,142200
Houston, -1.5 ,Texas Tech,20250224,142200
Kansas, -6.5 ,Colorado,20250224,142200
