Creighton, 3.5 ,Louisville,20250320,142313
High Point, 7.5 ,Purdue,20250320,142313
Montana, 16.5 ,Wisconsin,20250320,142313
SIU Edwardsville, 28.5 ,Houston,20250320,142313
Alabama State, 32.5 ,Auburn,20250320,142313
McNeese, 7.5 ,Clemson,20250320,142313
VCU, 2.5 ,BYU,20250320,142313
Georgia, 6.5 ,Gonzaga,20250320,142313
Wofford, 18.5 ,Tennessee,20250320,142313
Arkansas, 5.5 ,Kansas,20250320,142313
Yale, 7.5 ,Texas A&M,20250320,142313
Drake, 6.5 ,Missouri,20250320,142313
Utah State, 5.5 ,UCLA,20250320,142313
Omaha, 18.5 ,St. John's,20250320,142313
UC San Diego, 2.5 ,Michigan,20250320,142313
UNC Wilmington, 14.5 ,Texas Tech,20250320,142313
