Richmond, -3.5 ,Furman,20251127,142623
St. Bonaventure, -10.5 ,East Carolina,20251127,142623
Vanderbilt, -5.5 ,VCU,20251127,142623
Charlotte, 5.5 ,Illinois State,20251127,142623
Oregon, -1.5 ,Creighton,20251127,142623
Colorado, 1.5 ,San Francisco,20251127,142623
Virginia Tech, 4.5 ,Saint Mary's,20251127,142623
TCU, 13.5 ,Florida,20251127,142623
North Carolina, 2.5 ,Michigan State,20251127,142623
UNLV, -3.5 ,Rutgers,20251127,142623
Nevada, 5.5 ,Washington,20251127,142623
BYU, -9.5 ,Miami (FL,20251127,142623
Western Kentucky, 7.5 ,South Florida,20251127,142623
Providence, 6.5 ,Wisconsin,20251127,142623
Saint Louis, -1.5 ,Santa Clara,20251127,142623
Georgetown, -1.5 ,Dayton,20251127,142623
Arkansas, 10.5 ,Duke,20251127,142623
Colorado State, -1.5 ,Wichita State,20251127,142623
Minnesota, 1.5 ,Stanford,20251127,142623
Oklahoma State, 2.5 ,Northwestern,20251127,142623
Boise State,NL,Chaminade,20251127,142623
Utah,NL,Ole Miss,20251127,142623
Maryland,NL,Alabama,20251127,142623
