Wake Forest, 10.5 ,North Carolina State,20251231,142635
Mercer, 3.5 ,Furman,20251231,142635
Tulane, -1.5 ,East Carolina,20251231,142635
Loyola Chicago, 9.5 ,Rhode Island,20251231,142635
Lamar, -3.5 ,East Texas A&M,20251231,142635
Army, 4.5 ,Lehigh,20251231,142635
South Alabama, -3.5 ,Louisiana,20251231,142635
UTSA, 15.5 ,Florida Atlantic,20251231,142635
Wofford, -1.5 ,Western Carolina,20251231,142635
Loyola Maryland, 8.5 ,American,20251231,142635
Boston University, 6.5 ,Navy,20251231,142635
George Mason, -9.5 ,La Salle,20251231,142635
Appalachian State, 2.5 ,Old Dominion,20251231,142635
Charleston, 3.5 ,Elon,20251231,142635
Virginia, -5.5 ,Virginia Tech,20251231,142635
Texas State, 8.5 ,Troy,20251231,142635
Clemson, -1.5 ,Syracuse,20251231,142635
Stony Brook, 10.5 ,William & Mary,20251231,142635
Fordham, 15.5 ,Dayton,20251231,142635
Rice, 12.5 ,Tulsa,20251231,142635
St. Bonaventure, 10.5 ,VCU,20251231,142635
Campbell, 1.5 ,Monmouth,20251231,142635
Bucknell, 1.5 ,Holy Cross,20251231,142635
High Point, -10.5 ,UNC Asheville,20251231,142635
Charleston Southern, -10.5 ,Gardner-Webb,20251231,142635
Radford, -1.5 ,USC Upstate,20251231,142635
NJIT, 14.5 ,Penn,20251231,142635
Towson, -5.5 ,Hampton,20251231,142635
Northeastern, -3.5 ,North Carolina A&T,20251231,142635
Colgate, -7.5 ,Lafayette,20251231,142635
Winthrop, -8.5 ,Longwood,20251231,142635
Wichita State, 3.5 ,UAB,20251231,142635
Kansas City, 10.5 ,Denver,20251231,142635
Georgia Tech, 26.5 ,Duke,20251231,142635
North Texas, 11.5 ,Memphis,20251231,142635
Georgia State, 13.5 ,Marshall,20251231,142635
George Washington, -2.5 ,Richmond,20251231,142635
Saint Joseph's, 19.5 ,Saint Louis,20251231,142635
Stephen F. Austin, -8.5 ,Northwestern State,20251231,142635
New Orleans, 4.5 ,Texas A&M-Corpus Christi,20251231,142635
South Dakota, 11.5 ,North Dakota State,20251231,142635
UConn, -11.5 ,Xavier,20251231,142635
Nicholls State, 3.5 ,UT Rio Grande Valley,20251231,142635
DePaul, 13.5 ,Villanova,20251231,142635
Drexel, 12.5 ,UNC Wilmington,20251231,142635
St. John's, -8.5 ,Georgetown,20251231,142635
