Florida, 3.5 ,Kentucky,20250104,141810
KEAN,NL,Princeton,20250104,141810
DePaul, 9.5 ,Villanova,20250104,141810
Hofstra, 3 ,Northeastern,20250104,141810
Toledo, -1.5 ,Western Michigan,20250104,141810
Georgia, 5 ,Ole Miss,20250104,141810
Boston College, 7.5 ,Georgia Tech,20250104,141810
North Carolina, -4 ,Notre Dame,20250104,141810
Dayton, -8.5 ,George Washington,20250104,141810
Richmond, 5 ,Massachusetts,20250104,141810
William & Mary, -5.5 ,Stony Brook,20250104,141810
North Carolina State, 6 ,Wake Forest,20250104,141810
Oklahoma State, 8.5 ,West Virginia,20250104,141810
Texas State, 2 ,Appalachian State,20250104,141810
Chattanooga, -12 ,Citadel,20250104,141810
Buffalo, 12 ,Miami (OH,20250104,141810
Green Bay, 12.5 ,Northern Kentucky,20250104,141810
Milwaukee, -8.5 ,Detroit,20250104,141810
Arkansas, 12 ,Tennessee,20250104,141810
Vermont, -10 ,New Hampshire,20250104,141810
Florida Gulf Coast, -3 ,Queens (NC,20250104,141810
Ball State, 11 ,Kent State,20250104,141810
Towson, 7.5 ,Charleston,20250104,141810
VCU, -5.5 ,Loyola Chicago,20250104,141810
Duquesne, 5.5 ,Davidson,20250104,141810
Western Kentucky, -6 ,FIU,20250104,141810
Tulsa, 13 ,UAB,20250104,141810
Omaha, 11.5 ,North Dakota State,20250104,141810
Louisiana-Monroe, 7 ,Coastal Carolina,20250104,141810
St. Thomas (MN, -5.5 ,North Dakota,20250104,141810
Northern Illinois, 7.5 ,Eastern Michigan,20250104,141810
UCLA, 2.5 ,Nebraska,20250104,141810
South Carolina, 10.5 ,Mississippi State,20250104,141810
BYU, 9.5 ,Houston,20250104,141810
Butler, 12 ,St. John's,20250104,141810
Baylor, 8.5 ,Iowa State,20250104,141810
St. Bonaventure, -6.5 ,Fordham,20250104,141810
Drexel, -4 ,North Carolina A&T,20250104,141810
George Mason, -1 ,Rhode Island,20250104,141810
Miami, -1 ,Virginia Tech,20250104,141810
Indiana State, -2.5 ,Evansville,20250104,141810
Charlotte, 3.5 ,Rice,20250104,141810
MEVERS,NL,NJIT,20250104,141810
Bellarmine, 4 ,Central Arkansas,20250104,141810
Lipscomb, -5.5 ,North Florida,20250104,141810
UMBC, -3 ,Binghamton,20250104,141810
Maine, 3.5 ,Bryant,20250104,141810
High Point, -2.5 ,UNC Asheville,20250104,141810
Stetson, 4.5 ,West Georgia,20250104,141810
Presbyterian, 3 ,Gardner-Webb,20250104,141810
Duke, -8 ,SMU,20250104,141810
Arizona, 3 ,Cincinnati,20250104,141810
South Alabama, -5.5 ,Georgia Southern,20250104,141810
Samford, -12.5 ,Western Carolina,20250104,141810
Robert Morris, 4.5 ,Oakland,20250104,141810
IU Indy, 10.5 ,Cleveland State,20250104,141810
Austin Peay, 5 ,Jacksonville,20250104,141810
Jackson State, -1.5 ,Alcorn State,20250104,141810
McNeese State, -16.5 ,East Texas A&M,20250104,141810
Monmouth, 5.5 ,Delaware,20250104,141810
Weber State, 2 ,Northern Arizona,20250104,141810
Southern Miss, 2 ,Old Dominion,20250104,141810
Louisiana Tech, -2 ,New Mexico State,20250104,141810
Morehead State, 2 ,Tennessee Tech,20250104,141810
Wofford, 4.5 ,East Tennessee State,20250104,141810
Kansas State, 3.5 ,TCU,20250104,141810
Northern Iowa, -4.5 ,Valparaiso,20250104,141810
Arkansas State, -1.5 ,James Madison,20250104,141810
Troy, -2 ,Marshall,20250104,141810
Portland State, -5.5 ,Sacramento State,20250104,141810
Missouri, 18 ,Auburn,20250104,141810
Idaho State, 7 ,Northern Colorado,20250104,141810
Furman, 1 ,UNCG,20250104,141810
Louisville, -5 ,Virginia,20250104,141810
San Diego State, 4.5 ,Boise State,20250104,141810
Abilene Christian, 8.5 ,Utah Valley,20250104,141810
Massachusetts-Lowell, -1.5 ,Albany,20250104,141810
Mississippi Valley State, 23.5 ,Alabama State,20250104,141810
South Carolina State, -4.5 ,Morgan State,20250104,141810
Maryland Eastern Shore, 17 ,Norfolk State,20250104,141810
Mercer, -5.5 ,VMI,20250104,141810
