Indiana, 8 ,Penn State,20250105,141753
Florida Atlantic, -2.5 ,East Carolina,20250105,141753
Lehigh, 1.5 ,Loyola Maryland,20250105,141753
Army, 4 ,Boston,20250105,141753
Central Connecticut State, 8.5 ,Mercyhurst,20250105,141753
Fairleigh Dickinson, 4 ,Wagner,20250105,141753
Niagara, 5.5 ,Mount St. Mary's,20250105,141753
Canisius, 10 ,Sacred Heart,20250105,141753
Iona, 2 ,Siena,20250105,141753
Manhattan, 1.5 ,Rider,20250105,141753
Quinnipiac, 1.5 ,Marist,20250105,141753
Northwestern, 6 ,Purdue,20250105,141753
Providence, 15 ,Connecticut,20250105,141753
PSUSK,NL,Cornell,20250105,141753
BOWD,NL,Harvard,20250105,141753
JOWAL,NL,Brown,20250105,141753
Lafayette, 2.5 ,Navy,20250105,141753
Stonehill, -1 ,Saint Francis U,20250105,141753
Colgate, 1.5 ,Bucknell,20250105,141753
Holy Cross, 5.5 ,American,20250105,141753
Chicago State, 6 ,LIU,20250105,141753
Murray State, 10 ,Drake,20250105,141753
Southern Illinois, 7 ,Illinois State,20250105,141753
Illinois, -8.5 ,Washington,20250105,141753
Maryland, 4 ,Oregon,20250105,141753
Kansas, -5.5 ,UCF,20250105,141753
North Texas, 9 ,Memphis,20250105,141753
