NJIT, 5.5 ,Binghamton,20240201,211138
Maine, 8.5 ,Massachusetts-Lowell,20240201,211138
Drexel, -3.5 ,Monmouth,20240201,211138
Appalachian State, -5.5 ,Georgia State,20240201,211138
Campbell, 2.5 ,Elon,20240201,211138
UNCW, 4.5 ,Charleston,20240201,211138
Old Dominion, 9.5 ,Marshall,20240201,211138
Delaware, -5.5 ,William & Mary,20240201,211138
Louisiana Tech, -7.5 ,FIU,20240201,211138
Northeastern, 6.5 ,Towson,20240201,211138
Tulane, 8.5 ,SMU,20240201,211138
Robert Morris, 9.5 ,Oakland,20240201,211138
Troy, -4.5 ,Georgia Southern,20240201,211138
Stony Brook, 7.5 ,Hofstra,20240201,211138
Milwaukee, 3.5 ,Purdue Fort Wayne,20240201,211138
Coastal Carolina, 19.5 ,James Madison,20240201,211138
Cleveland State, -7.5 ,Detroit,20240201,211138
Hampton, 4.5 ,North Carolina A&T,20240201,211138
UMBC, 12.5 ,Bryant,20240201,211138
Saint Francis U, 13.5 ,Central Connecticut State,20240201,211138
Albany, 12.5 ,Vermont,20240201,211138
LIU, 9.5 ,Fairleigh Dickinson,20240201,211138
Longwood, 7.5 ,High Point,20240201,211138
Le Moyne, 2.5 ,Wagner,20240201,211138
Stonehill, 10.5 ,Sacred Heart,20240201,211138
Utah Valley, 7.5 ,Stephen F. Austin,20240201,211138
Bellarmine, 8.5 ,Kennesaw State,20240201,211138
South Alabama, 3.5 ,Texas State,20240201,211138
North Dakota State, 9.5 ,South Dakota State,20240201,211138
Idaho State, 9.5 ,Northern Colorado,20240201,211138
Weber State, -6.5 ,Northern Arizona,20240201,211138
North Dakota, -2.5 ,South Dakota,20240201,211138
Denver, 2.5 ,Kansas City,20240201,211138
Morehead State, -4.5 ,Tennessee State,20240201,211138
St. Thomas (MN, -1.5 ,Omaha,20240201,211138
Tarleton State, 1.5 ,Abilene Christian,20240201,211138
Eastern Kentucky, -5.5 ,Queens (NC,20240201,211138
Wisconsin, -1.5 ,Nebraska,20240201,211138
UT Arlington, 1.5 ,Southern Utah,20240201,211138
Little Rock, 2.5 ,SIUE,20240201,211138
UT Martin, -1.5 ,Eastern Illinois,20240201,211138
California, 18.5 ,Arizona,20240201,211138
Southern Indiana, 1.5 ,Tennessee Tech,20240201,211138
Western Illinois, -4.5 ,Lindenwood,20240201,211138
Florida Gulf Coast, -3.5 ,Central Arkansas,20240201,211138
Stetson, 1.5 ,North Alabama,20240201,211138
Youngstown State, 3.5 ,Wright State,20240201,211138
Liberty, -5.5 ,New Mexico State,20240201,211138
Sam Houston State, 4.5 ,Western Kentucky,20240201,211138
Eastern Washington, -3.5 ,Montana State,20240201,211138
Idaho, 15.5 ,Montana,20240201,211138
Jacksonville State, 3.5 ,UTEP,20240201,211138
Seattle, 9.5 ,Grand Canyon,20240201,211138
Stanford, 1.5 ,Arizona State,20240201,211138
Texas-Rio Grande Valley, 5.5 ,Utah Tech,20240201,211138
Portland, -2.5 ,Pacific,20240201,211138
UC Irvine, -13.5 ,Cal Poly,20240201,211138
CSUN, 10.5 ,California-San Diego,20240201,211138
Long Beach State, -2.5 ,Bakersfield,20240201,211138
Hawaii, 1.5 ,Cal State Fullerton,20240201,211138
Oregon, -2.5 ,USC,20240201,211138
Oregon State, 10.5 ,UCLA,20240201,211138
UC Davis, 3.5 ,UC Santa Barbara,20240201,211138
San Diego, 18.5 ,San Francisco,20240201,211138
IUPUI,NL,Green Bay,20240201,211138
