Central Michigan, 6.5 ,South Alabama,20251113,142427
Pittsburgh, 5.5 ,West Virginia,20251113,142427
Cornell, -4.5 ,Lafayette,20251113,142427
San Jose State, 24.5 ,Michigan State,20251113,142427
Purdue, 3.5 ,Alabama,20251113,142427
Monmouth, 14.5 ,Seton Hall,20251113,142427
Berea,NL,Tennessee Tech,20251113,142427
Alcorn State, 7.5 ,Howard,20251113,142427
Le Moyne, 15.5 ,UMass,20251113,142427
UMass Lowell, 12.5 ,Columbia,20251113,142427
Loyola Chicago, 4.5 ,Wichita State,20251113,142427
Southern Miss, 1.5 ,Grambling State,20251113,142427
Green Bay, 13.5 ,St. Thomas,20251113,142427
Florida International, 21.5 ,LSU,20251113,142427
Louisiana-Monroe, 8.5 ,Houston Christian,20251113,142427
Charleston Southern, 1.5 ,Alabama A&M,20251113,142427
California, 5.5 ,Kansas State,20251113,142427
Mississippi Valley State,NL,Hawai'i,20251113,142427
