James Madison, -3 ,UIC,20241121,142125
Miami, -9.5 ,Drake,20241121,142125
Ohio, -1.5 ,Middle Tennessee,20241121,142125
La Salle, -2.5 ,California-San Diego,20241121,142125
Oklahoma State, -1 ,Florida Atlantic,20241121,142125
South Florida, -9 ,Portland,20241121,142125
Jacksonville State, 4 ,East Carolina,20241121,142125
Monmouth, 5 ,Youngstown State,20241121,142125
VCU, -8 ,Seton Hall,20241121,142125
Stetson, 13.5 ,Toledo,20241121,142125
Bradley, -7 ,Texas State,20241121,142125
Robert Morris, 9.5 ,Cornell,20241121,142125
UNCG, 18 ,Indiana,20241121,142125
Mercer, 18.5 ,South Carolina,20241121,142125
Eastern Michigan, 8 ,Oakland,20241121,142125
Niagara, 15.5 ,Kent State,20241121,142125
Baylor, -2.5 ,St. John's,20241121,142125
Texas, -10.5 ,Syracuse,20241121,142125
EWATER,NL,North Florida,20241121,142125
JNSN,NL,Chattanooga,20241121,142125
Bryant, -12 ,Stonehill,20241121,142125
Radford, 21 ,Clemson,20241121,142125
NJIT, 14 ,Bucknell,20241121,142125
Vanderbilt, 3.5 ,Nevada,20241121,142125
TRINTX,NL,Sam Houston,20241121,142125
Southeast Missouri State, -1 ,Central Arkansas,20241121,142125
Presbyterian, 8.5 ,Stephen F. Austin,20241121,142125
Oral Roberts, 21.5 ,Ole Miss,20241121,142125
Lindenwood, 10.5 ,Valparaiso,20241121,142125
Princeton, -7 ,Wright State,20241121,142125
MINC,NL,North Dakota State,20241121,142125
TXWESL,NL,North Texas,20241121,142125
MONIL,NL,Western Illinois,20241121,142125
East Texas A&M, 26 ,Oklahoma,20241121,142125
Central Connecticut State, -2 ,Sacred Heart,20241121,142125
UT Martin, 11.5 ,Texas A&M-Corpus Christi,20241121,142125
Tarleton State, 31 ,Michigan,20241121,142125
Saint Joseph's, 10 ,Texas Tech,20241121,142125
Grambling State, 22 ,New Mexico,20241121,142125
Eastern Washington, 12 ,Washington State,20241121,142125
Virginia, 12 ,Tennessee,20241121,142125
Memphis, 1.5 ,San Francisco,20241121,142125
Oregon, -6.5 ,Oregon State,20241121,142125
Air Force, 16.5 ,California,20241121,142125
Villanova,NL,Nevada,20241121,142125
