North Carolina Central, -3.5 ,Morgan State,20250107,153430
St. John's, -1.5 ,Xavier,20250107,153430
Kent State, -12.5 ,Northern Illinois,20250107,153430
Central Michigan, 7.5 ,Akron,20250107,153430
Miami (OH, -1 ,Ball State,20250107,153430
Eastern Michigan, 9.5 ,Toledo,20250107,153430
Bowling Green, 5 ,Western Michigan,20250107,153430
Tennessee, 3.5 ,Florida,20250107,153430
Kentucky, -2.5 ,Georgia,20250107,153430
Arizona, -3.5 ,West Virginia,20250107,153430
Ohio, -12 ,Buffalo,20250107,153430
Pittsburgh, 14.5 ,Duke,20250107,153430
Clemson, 3.5 ,Louisville,20250107,153430
Georgia Tech, -1 ,Syracuse,20250107,153430
Tulane, 9 ,UAB,20250107,153430
Tulsa, 5 ,UTSA,20250107,153430
Nebraska, 4 ,Iowa,20250107,153430
UIC, 2.5 ,Missouri State,20250107,153430
Kansas State, 3 ,Oklahoma State,20250107,153430
Cincinnati, 6 ,Baylor,20250107,153430
Utah, 17.5 ,Iowa State,20250107,153430
Georgetown, 12.5 ,Marquette,20250107,153430
SIUE, -2.5 ,Eastern Illinois,20250107,153430
Fresno State, 14.5 ,Colorado State,20250107,153430
Auburn, -10.5 ,Texas,20250107,153430
LSU, 7 ,Missouri,20250107,153430
Mississippi State, -3 ,Vanderbilt,20250107,153430
SMU, 6.5 ,North Carolina,20250107,153430
Texas Tech, 2 ,BYU,20250107,153430
Utah State, -10 ,San Jose State,20250107,153430
Michigan, 3 ,UCLA,20250107,153430
New Mexico, -6.5 ,Wyoming,20250107,153430
UNLV, 8 ,Boise State,20250107,153430
Loyola Marymount, 14.5 ,Saint Mary's,20250107,153430
Ole Miss,NL,Arkansas,20250107,153430
Alabama,NL,South Carolina,20250107,153430
Texas A&M,NL,Oklahoma,20250107,153430
Air Force,NL,San Diego State,20250107,153430
