Maryland, -3.5 ,Indiana,20250126,141702
Duquesne, -2.5 ,Fordham,20250126,141702
UAB, 7.5 ,Memphis,20250126,141702
Nebraska, 8 ,Wisconsin,20250126,141702
Chicago State, 14.5 ,Central Connecticut State,20250126,141702
LIU, -2.5 ,Mercyhurst,20250126,141702
Florida Atlantic, 8 ,North Texas,20250126,141702
Wagner, 2.5 ,St. Francis (PA,20250126,141702
FDU, 3 ,Stonehill,20250126,141702
Wichita State, -5 ,Tulsa,20250126,141702
Northwestern, 8 ,Illinois,20250126,141702
Oklahoma State, 18.5 ,Texas Tech,20250126,141702
Navy, 2.5 ,Army,20250126,141702
