Richmond, 6.5 ,Davidson,20250312,142232
Virginia, 1.5 ,Georgia Tech,20250312,142232
Cincinnati, 9.5 ,Iowa State,20250312,142232
Charlotte, 3.5 ,Rice,20250312,142232
South Carolina, 4.5 ,Arkansas,20250312,142232
Fordham, 4.5 ,Rhode Island,20250312,142232
Wyoming, -1 ,San Jose State,20250312,142232
Grambling State, 6.5 ,Southern University,20250312,142232
Notre Dame, 10.5 ,North Carolina,20250312,142232
Colorado, 6.5 ,West Virginia,20250312,142232
Texas, 2.5 ,Vanderbilt,20250312,142232
Northwestern, -2.5 ,Minnesota,20250312,142232
Butler, -1.5 ,Providence,20250312,142232
La Salle, 2.5 ,UMass,20250312,142232
Fresno State, 12.5 ,Nevada,20250312,142232
Lamar, 13.5 ,McNeese,20250312,142232
Iowa, 5.5 ,Ohio State,20250312,142232
Rider, 9.5 ,Quinnipiac,20250312,142232
Maryland-Eastern Shore, 16.5 ,Norfolk State,20250312,142232
DePaul, 4.5 ,Georgetown,20250312,142232
UTEP, 7.5 ,Liberty,20250312,142232
California, 6.5 ,Stanford,20250312,142232
Kansas State, 6.5 ,Baylor,20250312,142232
LSU, 8.5 ,Mississippi State,20250312,142232
Air Force, 12.5 ,UNLV,20250312,142232
Navy, 4.5 ,American,20250312,142232
USC, -1.5 ,Rutgers,20250312,142232
Sacred Heart, 3.5 ,Merrimack,20250312,142232
Coppin State, 15.5 ,South Carolina State,20250312,142232
Florida A&M, 5.5 ,Jackson State,20250312,142232
Seton Hall, 10.5 ,Villanova,20250312,142232
Florida International, 7.5 ,Jacksonville State,20250312,142232
Utah Tech, 13.5 ,Utah Valley,20250312,142232
Cal State Bakersfield, 5.5 ,UC Santa Barbara,20250312,142232
Syracuse, 9.5 ,SMU,20250312,142232
UCF, 11.5 ,Kansas,20250312,142232
Oklahoma, 3.5 ,Georgia,20250312,142232
UT Arlington, 8.5 ,Grand Canyon,20250312,142232
Cal Poly, -1.5 ,UC Davis,20250312,142232
Montana, 2.5 ,Northern Colorado,20250312,142232
