Memphis, 5.5 ,Clemson,20241214,141923
Texas A&M, 2 ,Purdue,20241214,141923
Western Illinois, 9.5 ,South Dakota,20241214,141923
MSBOS,NL,Massachusetts,20241214,141923
LIU, 27.5 ,Missouri,20241214,141923
South Carolina State, 12.5 ,Furman,20241214,141923
Coppin State, 38.5 ,Penn State,20241214,141923
Ohio State, 11.5 ,Auburn,20241214,141923
Wichita State, 3 ,DePaul,20241214,141923
Stony Brook, 8 ,Rider,20241214,141923
Toledo, 1.5 ,Youngstown State,20241214,141923
Lamar, 2.5 ,Louisiana-Lafayette,20241214,141923
Maine, -8 ,Canisius,20241214,141923
East Tennessee State, -2 ,Jacksonville,20241214,141923
Charlotte, 1.5 ,Georgia State,20241214,141923
Murray State, 4.5 ,Western Kentucky,20241214,141923
Texas State, 8.5 ,Florida Atlantic,20241214,141923
UCF, -11.5 ,Tulsa,20241214,141923
Xavier, 7 ,Cincinnati,20241214,141923
SUNYD,NL,Le Moyne,20241214,141923
USC Upstate, 26 ,South Carolina,20241214,141923
Dartmouth, 11 ,Massachusetts-Lowell,20241214,141923
Western Carolina, 9 ,UNC Asheville,20241214,141923
Appalachian State, 6 ,High Point,20241214,141923
North Carolina Central, 8 ,Longwood,20241214,141923
Queens (NC, 6 ,Gardner-Webb,20241214,141923
Wisconsin, -4.5 ,Butler,20241214,141923
Georgetown, 1 ,Syracuse,20241214,141923
Fordham, -1 ,Bryant,20241214,141923
UCLA, 3.5 ,Arizona,20241214,141923
Seton Hall, 11.5 ,Rutgers,20241214,141923
Louisiana-Monroe, 14 ,UT Arlington,20241214,141923
BRESC,NL,Cleveland State,20241214,141923
JNSN,NL,Tennessee State,20241214,141923
UNCW, -4.5 ,Howard,20241214,141923
Northwestern State, 16.5 ,California,20241214,141923
Ball State, -1.5 ,Bellarmine,20241214,141923
North Carolina State, 14.5 ,Kansas,20241214,141923
Arizona State, 7.5 ,Florida,20241214,141923
South Florida, 16 ,Utah State,20241214,141923
Ole Miss, -22 ,Southern Miss,20241214,141923
Ohio, 1 ,Marshall,20241214,141923
LSU, 4 ,SMU,20241214,141923
La Salle, 21 ,North Carolina,20241214,141923
Central Michigan, 1 ,Valparaiso,20241214,141923
Northern Arizona, 4 ,Pepperdine,20241214,141923
BRYN,NL,Maryland Eastern Shore,20241214,141923
Arkansas, -27.5 ,Central Arkansas,20241214,141923
Wagner, -3 ,NJIT,20241214,141923
FIU, -4 ,Stetson,20241214,141923
Bradley, 3.5 ,Santa Clara,20241214,141923
Florida State, -10.5 ,Tulane,20241214,141923
IU Indy, -1 ,Lindenwood,20241214,141923
UC Irvine, 2.5 ,Oregon State,20241214,141923
Missouri State, 11 ,Washington State,20241214,141923
St. Bonaventure, 3.5 ,Providence,20241214,141923
Utah Valley, 3 ,Jacksonville State,20241214,141923
NWIN,NL,Portland State,20241214,141923
Southern Illinois, -2 ,Austin Peay,20241214,141923
Bethune-Cookman, 25 ,West Virginia,20241214,141923
UNCG, -1 ,North Florida,20241214,141923
Louisville, 10 ,Kentucky,20241214,141923
Tennessee, -1.5 ,Illinois,20241214,141923
NNME,NL,Texas-Rio Grande Valley,20241214,141923
MGS,NL,Troy,20241214,141923
Towson, -1.5 ,Duquesne,20241214,141923
Belmont, -1 ,Richmond,20241214,141923
Grand Canyon, 6.5 ,Georgia,20241214,141923
Mississippi State, -9.5 ,McNeese State,20241214,141923
Saint Francis U, 4 ,Niagara,20241214,141923
Detroit, 16 ,Davidson,20241214,141923
San Diego, 5 ,Fresno State,20241214,141923
Marquette, 1 ,Dayton,20241214,141923
North Carolina A&T, 20 ,Liberty,20241214,141923
Green Bay, 13.5 ,UC Santa Barbara,20241214,141923
VULYN,NL,Elon,20241214,141923
WNM,NL,New Mexico,20241214,141923
HDSM,NL,Abilene Christian,20241214,141923
Drexel, 1 ,Albany,20241214,141923
Loyola Maryland, 4.5 ,Mount St. Mary's,20241214,141923
Radford, 19.5 ,Utah,20241214,141923
Colorado State, 7 ,VCU,20241214,141923
Gonzaga, -2.5 ,Connecticut,20241214,141923
Oklahoma, -4.5 ,Oklahoma State,20241214,141923
Bowling Green, 2.5 ,Kansas City,20241214,141923
WAWA,NL,Idaho State,20241214,141923
PACOR,NL,Seattle,20241214,141923
Eastern Illinois, 10 ,Eastern Kentucky,20241214,141923
Creighton, 11.5 ,Alabama,20241214,141923
Saint Mary's, -2.5 ,Boise State,20241214,141923
Wyoming, 17 ,BYU,20241214,141923
Prairie View A&M, 19.5 ,Loyola Marymount,20241214,141923
Cal Poly, 5 ,San Jose State,20241214,141923
UC Davis, -7.5 ,Sacramento State,20241214,141923
Texas Southern, 21.5 ,Nevada,20241214,141923
Pacific, 12.5 ,UNLV,20241214,141923
Texas A&M-Corpus Christi, 3.5 ,Hawaii,20241214,141923
Bakersfield,NL,Portland,20241214,141923
