Toledo, 1.5 ,UMass,20260120,143740
Akron, -7.5 ,Buffalo,20260120,143740
Minnesota, 7.5 ,Ohio State,20260120,143740
LSU, 15.5 ,Florida,20260120,143740
Indiana, 15.5 ,Michigan,20260120,143740
Miami (OH, -1.5 ,Kent State,20260120,143740
North Carolina State, 3.5 ,Clemson,20260120,143740
Saint Louis, -8.5 ,Duquesne,20260120,143740
Oklahoma, -1.5 ,South Carolina,20260120,143740
UCF, 12.5 ,Iowa State,20260120,143740
Seton Hall, 10.5 ,St. John's,20260120,143740
Florida State, 12.5 ,Miami (FL,20260120,143740
Bowling Green, -6.5 ,Western Michigan,20260120,143740
Ball State, 1.5 ,Central Michigan,20260120,143740
Northern Illinois, 12.5 ,Ohio,20260120,143740
Loyola Chicago, 11.5 ,St. Bonaventure,20260120,143740
DePaul, 7.5 ,Butler,20260120,143740
Evansville, 9.5 ,UIC,20260120,143740
Oklahoma State, 8.5 ,TCU,20260120,143740
Boise State, -1.5 ,Wyoming,20260120,143740
Tennessee-Martin, 2.5 ,Southeast Missouri State,20260120,143740
Rutgers, 19.5 ,Iowa,20260120,143740
SMU, -1.5 ,Wake Forest,20260120,143740
Auburn, -2.5 ,Ole Miss,20260120,143740
Texas Tech, -1.5 ,Baylor,20260120,143740
Utah, 8.5 ,Kansas State,20260120,143740
Michigan State, -10.5 ,Oregon,20260120,143740
Vanderbilt, 1.5 ,Arkansas,20260120,143740
Air Force, 20.5 ,Colorado State,20260120,143740
Georgia, -1.5 ,Missouri,20260120,143740
Purdue, -5.5 ,UCLA,20260120,143740
San Jose State, 18.5 ,Nevada,20260120,143740
Kansas, -5.5 ,Colorado,20260120,143740
UNLV, 17.5 ,Utah State,20260120,143740
