Louisiana Christian,NL,Southern University,20251201,142827
South Carolina State, 3.5 ,Chicago State,20251201,142827
Temple, 14.5 ,Villanova,20251201,142827
Central State (OH,NL,Toledo,20251201,142827
Tarleton State, 18.5 ,Cincinnati,20251201,142827
Iona, -1.5 ,Delaware,20251201,142827
North Alabama, 5.5 ,Jacksonville State,20251201,142827
West Georgia, 18.5 ,Troy,20251201,142827
St. Francis (PA, 27.5 ,Xavier,20251201,142827
UAB, -3.5 ,Middle Tennessee,20251201,142827
McNeese, -7.5 ,Incarnate Word,20251201,142827
Bowling Green, 12.5 ,Kansas State,20251201,142827
California Baptist, 13.5 ,Colorado,20251201,142827
Portland, 17.5 ,Stanford,20251201,142827
