Saint Louis, 4.5 ,La Salle,20240207,150957
Georgetown, 12.5 ,Seton Hall,20240207,150957
Charleston Southern, 8.5 ,Winthrop,20240207,150957
High Point, -2.5 ,UNC Asheville,20240207,150957
Stetson, -3.5 ,Bellarmine,20240207,150957
Wofford, 2.5 ,East Tennessee State,20240207,150957
Valparaiso, 20.5 ,Indiana State,20240207,150957
Furman, -3.5 ,Mercer,20240207,150957
Citadel, 11.5 ,Western Carolina,20240207,150957
Marshall, 8.5 ,Troy,20240207,150957
Loyola Chicago, 4.5 ,George Mason,20240207,150957
Davidson, 6.5 ,Duquesne,20240207,150957
Wisconsin, -5.5 ,Michigan,20240207,150957
Villanova, 3.5 ,Xavier,20240207,150957
LSU, 13.5 ,Tennessee,20240207,150957
Alabama, 5.5 ,Auburn,20240207,150957
Cleveland State, 3.5 ,Purdue Fort Wayne,20240207,150957
Massachusetts, 4.5 ,St. Bonaventure,20240207,150957
Western Kentucky, 9.5 ,Louisiana Tech,20240207,150957
Pittsburgh, 3.5 ,North Carolina State,20240207,150957
Louisville, 8.5 ,Syracuse,20240207,150957
Colgate, -7.5 ,Boston,20240207,150957
Gardner-Webb, -3.5 ,Presbyterian,20240207,150957
USC Upstate, 6.5 ,Longwood,20240207,150957
Bucknell, 1.5 ,Navy,20240207,150957
Loyola Maryland, 9.5 ,American,20240207,150957
Army, 6.5 ,Lehigh,20240207,150957
Holy Cross, 7.5 ,Lafayette,20240207,150957
Coastal Carolina, 5.5 ,Louisiana-Monroe,20240207,150957
UTSA, 9.5 ,Wichita State,20240207,150957
Old Dominion, 5.5 ,Southern Miss,20240207,150957
Bradley, -8.5 ,Evansville,20240207,150957
Southern Illinois, 9.5 ,Drake,20240207,150957
Missouri State, 4.5 ,Northern Iowa,20240207,150957
Portland, 25.5 ,Gonzaga,20240207,150957
Georgia Southern, 4.5 ,South Alabama,20240207,150957
North Texas, -4.5 ,Tulsa,20240207,150957
Appalachian State, -8.5 ,Texas State,20240207,150957
SMU, -6.5 ,Rice,20240207,150957
James Madison, -4.5 ,Arkansas State,20240207,150957
Murray State, 2.5 ,Belmont,20240207,150957
UIC, 4.5 ,Illinois State,20240207,150957
Georgia State, 8.5 ,Louisiana-Lafayette,20240207,150957
Creighton, -2.5 ,Providence,20240207,150957
Nebraska, 5.5 ,Northwestern,20240207,150957
Texas A&M, -4.5 ,Missouri,20240207,150957
Georgia, 8.5 ,Mississippi State,20240207,150957
Notre Dame, 16.5 ,Duke,20240207,150957
UCLA, 3.5 ,Stanford,20240207,150957
Florida Gulf Coast, 6.5 ,Eastern Kentucky,20240207,150957
Loyola Marymount, -3.5 ,San Diego,20240207,150957
USC, 2.5 ,California,20240207,150957
