Idaho, 12.5 ,Montana,20250121,023236
Hampton, 1.5 ,North Carolina A&T,20250121,023236
Eastern Washington, 4.5 ,Montana State,20250121,023236
William & Mary,NL,UNCW,20250121,023236
Saint Francis U,NL,Wagner,20250121,023236
New Orleans,NL,Northwestern State,20250121,023236
Southeastern Louisiana,NL,East Texas A&M,20250121,023236
Lamar,NL,Nicholls,20250121,023236
Mercyhurst,NL,LIU,20250121,023236
Alcorn State,NL,Prairie View A&M,20250121,023236
Columbia,NL,Princeton,20250121,023236
Dartmouth,NL,Yale,20250121,023236
Penn,NL,Harvard,20250121,023236
Brown,NL,Cornell,20250121,023236
Hofstra,NL,Drexel,20250121,023236
Jackson State,NL,Texas Southern,20250121,023236
MORE,NL,Howard,20250121,023236
Stephen F. Austin,NL,McNeese State,20250121,023236
Fresno State,NL,New Mexico,20250121,023236
COLU,NL,Norfolk State,20250121,023236
Texas-Rio Grande Valley,NL,Incarnate Word,20250121,023236
Georgetown,NL,Villanova,20250121,023236
Rutgers,NL,Penn State,20250121,023236
Mississippi Valley State,NL,Florida A&M,20250121,023236
UAPB,NL,Bethune-Cookman,20250121,023236
Bucknell,NL,Colgate,20250121,023236
Texas A&M-Corpus Christi,NL,Houston Christian,20250121,023236
Fairleigh Dickinson,NL,Chicago State,20250121,023236
Stonehill,NL,Le Moyne,20250121,023236
