Southeast Missouri State, 17 ,Lipscomb,20241205,142205
Purdue Fort Wayne, -8 ,Detroit,20241205,142205
Alabama State, 3 ,Southern Miss,20241205,142205
Purdue, 2 ,Penn State,20241205,142205
Wright State, 1 ,Oakland,20241205,142205
FLTECH,NL,Jacksonville,20241205,142205
Central Michigan,NL,AQUN,20241205,142205
WARUR,NL,North Florida,20241205,142205
Samford, -8 ,South Carolina State,20241205,142205
Radford, -5 ,North Carolina Central,20241205,142205
Maryland Eastern Shore, 20 ,Longwood,20241205,142205
Southeastern Louisiana, 3 ,Nicholls,20241205,142205
Stephen F. Austin, 5.5 ,Texas-Rio Grande Valley,20241205,142205
Xavier, 1 ,TCU,20241205,142205
Cleveland State, 8 ,Milwaukee,20241205,142205
Drake, -10.5 ,Valparaiso,20241205,142205
Jackson State, 15 ,Arkansas State,20241205,142205
Lamar, 8.5 ,Texas A&M-Corpus Christi,20241205,142205
Northwestern State, 4.5 ,Incarnate Word,20241205,142205
East Texas A&M, 2 ,Houston Christian,20241205,142205
Cal Poly, 2.5 ,UC Davis,20241205,142205
California-San Diego, 3 ,UC Santa Barbara,20241205,142205
Bakersfield, 16 ,UC Irvine,20241205,142205
Long Beach State, 5.5 ,Cal State Fullerton,20241205,142205
UC Riverside, 5.5 ,CSUN,20241205,142205
Saint Louis, 8 ,San Francisco,20241205,142205
Northwestern State,NL,Houston Christian,20241205,142205
