Bellarmine, 5.5 ,Austin Peay,20240302,031338
Troy, -6.5 ,Texas State,20240302,031338
Southern Miss, 12.5 ,Louisiana-Lafayette,20240302,031338
Dayton, -3.5 ,Loyola Chicago,20240302,031338
Fresno State, 14.5 ,Nevada,20240302,031338
Air Force, 17.5 ,Utah State,20240302,031338
Bowling Green,NL,Ohio,20240302,031338
Arkansas State,NL,Appalachian State,20240302,031338
Quinnipiac,NL,Iona,20240302,031338
Manhattan,NL,Siena,20240302,031338
Dartmouth,NL,Yale,20240302,031338
Florida Gulf Coast,NL,Jacksonville,20240302,031338
Rider,NL,Niagara,20240302,031338
Fairfield,NL,Marist,20240302,031338
Old Dominion,NL,Georgia Southern,20240302,031338
Marshall,NL,Georgia State,20240302,031338
Kennesaw State,NL,Queens (NC,20240302,031338
Harvard,NL,Brown,20240302,031338
Mount St. Mary's,NL,Canisius,20240302,031338
Stetson,NL,North Florida,20240302,031338
James Madison,NL,Coastal Carolina,20240302,031338
North Alabama,NL,Central Arkansas,20240302,031338
Cornell,NL,Penn,20240302,031338
Louisiana-Monroe,NL,South Alabama,20240302,031338
Eastern Kentucky,NL,Lipscomb,20240302,031338
Columbia,NL,Princeton,20240302,031338
Wagner,NL,Le Moyne,20240302,031338
